$0;1752828181280001349;2.0.2;KIEKER;ZORGLUB-42;1;false;0;NANOSECONDS;0
$1;1752828205229387157;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204322690394;1752828204322739322;localhost;1;1
$1;1752828205235389150;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204323568313;1752828204323614673;localhost;2;1
$1;1752828205235415847;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204323712773;1752828204323749680;localhost;3;1
$1;1752828205235430658;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204323823451;1752828204323861892;localhost;4;1
$1;1752828205235444013;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204323932787;1752828204323964923;localhost;5;1
$1;1752828205235456869;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204324659386;1752828204324724906;localhost;6;1
$1;1752828205235912418;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204324856246;1752828204324896801;localhost;7;1
$1;1752828205235932785;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204324961909;1752828204324995382;localhost;8;1
$1;1752828205235947585;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204325062930;1752828204325092142;localhost;9;1
$1;1752828205235961025;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204325155178;1752828204325186868;localhost;10;1
$1;1752828205236126956;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204325313111;1752828204329278466;localhost;11;1
$1;1752828205236143730;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204329532450;1752828204329582705;localhost;12;1
$1;1752828205236157909;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204329699121;1752828204329735956;localhost;13;1
$1;1752828205236171573;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204329795520;1752828204329825642;localhost;14;1
$1;1752828205236184396;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204329879533;1752828204329909654;localhost;15;1
$1;1752828205236197765;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204329959543;1752828204329990523;localhost;16;1
$1;1752828205236210490;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204330038836;1752828204330067012;localhost;17;1
$1;1752828205236231604;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204330115322;1752828204330145546;localhost;18;1
$1;1752828205236245630;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204330195982;1752828204330225174;localhost;19;1
$1;1752828205236260411;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204330276221;1752828204330305633;localhost;20;1
$1;1752828205236273589;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204330383315;1752828204330422709;localhost;21;1
$1;1752828205236287705;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204330478051;1752828204330507165;localhost;22;1
$1;1752828205236300559;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204330554450;1752828204330583451;localhost;23;1
$1;1752828205236313457;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204330632143;1752828204330663845;localhost;24;1
$1;1752828205236325936;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204330714954;1752828204330745333;localhost;25;1
$1;1752828205236339343;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204330794218;1752828204330823833;localhost;26;1
$1;1752828205236353983;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204330870925;1752828204330899368;localhost;27;1
$1;1752828205236367674;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204330953386;1752828204330982252;localhost;28;1
$1;1752828205236379948;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204331029555;1752828204331058272;localhost;29;1
$1;1752828205236393024;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204331104219;1752828204331132308;localhost;30;1
$1;1752828205236408749;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204331177908;1752828204331206857;localhost;31;1
$1;1752828205236424258;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204331253493;1752828204331289075;localhost;32;1
$1;1752828205236439147;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204331339770;1752828204331369334;localhost;33;1
