name,files,modules,variables
PolygonInteractor,./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor.PolygonInteractor,self.ax
PolygonInteractor,./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor.PolygonInteractor,canvas
PolygonInteractor,./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor.PolygonInteractor,self.poly
PolygonInteractor,./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor.PolygonInteractor,x
PolygonInteractor,./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor.PolygonInteractor,y
PolygonInteractor,./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor.PolygonInteractor,self.line
PolygonInteractor,./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor.PolygonInteractor,self.cid
PolygonInteractor,./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor.PolygonInteractor,self._ind
PolygonInteractor,./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor.PolygonInteractor,self.canvas
Cursor,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets.Cursor,self.visible
Cursor,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets.Cursor,self.horizOn
Cursor,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets.Cursor,self.vertOn
Cursor,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets.Cursor,self.useblit
Cursor,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets.Cursor,self.lineh
Cursor,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets.Cursor,self.linev
Cursor,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets.Cursor,self.background
Cursor,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets.Cursor,self.needclear
BlittedCursor,./apps/matplotlib/galleries/examples/event_handling/cursor_demo.py,cursor_demo.BlittedCursor,self.ax
BlittedCursor,./apps/matplotlib/galleries/examples/event_handling/cursor_demo.py,cursor_demo.BlittedCursor,self.background
BlittedCursor,./apps/matplotlib/galleries/examples/event_handling/cursor_demo.py,cursor_demo.BlittedCursor,self.horizontal_line
