common-block,file,module,operation,direction
PolygonInteractor,./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor.PolygonInteractor,self.ax,WRITE
PolygonInteractor,./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor.PolygonInteractor,canvas,WRITE
PolygonInteractor,./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor.PolygonInteractor,self.poly,WRITE
PolygonInteractor,./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor.PolygonInteractor,x,WRITE
PolygonInteractor,./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor.PolygonInteractor,y,WRITE
PolygonInteractor,./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor.PolygonInteractor,self.line,WRITE
PolygonInteractor,./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor.PolygonInteractor,self.cid,WRITE
PolygonInteractor,./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor.PolygonInteractor,self._ind,WRITE
PolygonInteractor,./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor.PolygonInteractor,self.canvas,WRITE
Cursor,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets.Cursor,self.visible,WRITE
Cursor,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets.Cursor,self.horizOn,WRITE
Cursor,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets.Cursor,self.vertOn,WRITE
Cursor,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets.Cursor,self.useblit,WRITE
Cursor,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets.Cursor,self.lineh,WRITE
Cursor,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets.Cursor,self.linev,WRITE
Cursor,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets.Cursor,self.background,WRITE
Cursor,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets.Cursor,self.needclear,WRITE
BlittedCursor,./apps/matplotlib/galleries/examples/event_handling/cursor_demo.py,cursor_demo.BlittedCursor,self.ax,WRITE
BlittedCursor,./apps/matplotlib/galleries/examples/event_handling/cursor_demo.py,cursor_demo.BlittedCursor,self.background,WRITE
BlittedCursor,./apps/matplotlib/galleries/examples/event_handling/cursor_demo.py,cursor_demo.BlittedCursor,self.horizontal_line,WRITE
BlittedCursor,./apps/matplotlib/galleries/examples/event_handling/cursor_demo.py,cursor_demo.BlittedCursor,self.vertical_line,WRITE
BlittedCursor,./apps/matplotlib/galleries/examples/event_handling/cursor_demo.py,cursor_demo.BlittedCursor,self.text,WRITE
BlittedCursor,./apps/matplotlib/galleries/examples/event_handling/cursor_demo.py,cursor_demo.BlittedCursor,self._creating_background,WRITE
SnappingCursor,./apps/matplotlib/galleries/examples/event_handling/cursor_demo.py,cursor_demo.SnappingCursor,self.ax,WRITE
SnappingCursor,./apps/matplotlib/galleries/examples/event_handling/cursor_demo.py,cursor_demo.SnappingCursor,self.horizontal_line,WRITE
SnappingCursor,./apps/matplotlib/galleries/examples/event_handling/cursor_demo.py,cursor_demo.SnappingCursor,self.vertical_line,WRITE
SnappingCursor,./apps/matplotlib/galleries/examples/event_handling/cursor_demo.py,cursor_demo.SnappingCursor,self.x,WRITE
SnappingCursor,./apps/matplotlib/galleries/examples/event_handling/cursor_demo.py,cursor_demo.SnappingCursor,self.y,WRITE
SnappingCursor,./apps/matplotlib/galleries/examples/event_handling/cursor_demo.py,cursor_demo.SnappingCursor,self._last_index,WRITE
SnappingCursor,./apps/matplotlib/galleries/examples/event_handling/cursor_demo.py,cursor_demo.SnappingCursor,self.text,WRITE
MandelbrotDisplay,./apps/matplotlib/galleries/examples/event_handling/viewlims.py,viewlims.MandelbrotDisplay,self.height,WRITE
MandelbrotDisplay,./apps/matplotlib/galleries/examples/event_handling/viewlims.py,viewlims.MandelbrotDisplay,self.width,WRITE
MandelbrotDisplay,./apps/matplotlib/galleries/examples/event_handling/viewlims.py,viewlims.MandelbrotDisplay,self.niter,WRITE
MandelbrotDisplay,./apps/matplotlib/galleries/examples/event_handling/viewlims.py,viewlims.MandelbrotDisplay,self.radius,WRITE
MandelbrotDisplay,./apps/matplotlib/galleries/examples/event_handling/viewlims.py,viewlims.MandelbrotDisplay,self.power,WRITE
PathInteractor,./apps/matplotlib/galleries/examples/event_handling/path_editor.py,path_editor.PathInteractor,self.ax,WRITE
PathInteractor,./apps/matplotlib/galleries/examples/event_handling/path_editor.py,path_editor.PathInteractor,canvas,WRITE
PathInteractor,./apps/matplotlib/galleries/examples/event_handling/path_editor.py,path_editor.PathInteractor,self.pathpatch,WRITE
PathInteractor,./apps/matplotlib/galleries/examples/event_handling/path_editor.py,path_editor.PathInteractor,x,WRITE
PathInteractor,./apps/matplotlib/galleries/examples/event_handling/path_editor.py,path_editor.PathInteractor,y,WRITE
PathInteractor,./apps/matplotlib/galleries/examples/event_handling/path_editor.py,path_editor.PathInteractor,self.line,WRITE
PathInteractor,./apps/matplotlib/galleries/examples/event_handling/path_editor.py,path_editor.PathInteractor,self._ind,WRITE
PathInteractor,./apps/matplotlib/galleries/examples/event_handling/path_editor.py,path_editor.PathInteractor,self.canvas,WRITE
Pad,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Pad,self.disp,WRITE
Pad,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Pad,self.x,WRITE
Pad,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Pad,self.y,WRITE
Pad,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Pad,self.w,WRITE
Pad,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Pad,self.score,WRITE
Pad,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Pad,self.xoffset,WRITE
Pad,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Pad,self.yoffset,WRITE
Puck,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Puck,self.vmax,WRITE
Puck,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Puck,self.disp,WRITE
Puck,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Puck,self.field,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,self.ax,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,pad_a_x,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,pad_b_x,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,pad_a_y,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,pad_b_y,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,pad_b_x,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,pA,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,pB,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,self.x,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,self.line,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,self.line2,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,self.line3,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,self.line4,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,self.centerline,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,self.puckdisp,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,self.canvas,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,self.background,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,self.cnt,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,self.distract,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,self.res,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,self.on,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,self.inst,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,self.pads,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,self.pucks,WRITE
Game,./apps/matplotlib/galleries/examples/event_handling/pong_sgskip.py,pong_sgskip.Game,self.i,WRITE
EventHandler,./apps/matplotlib/galleries/examples/event_handling/looking_glass.py,looking_glass.EventHandler,self.x0,WRITE
EventHandler,./apps/matplotlib/galleries/examples/event_handling/looking_glass.py,looking_glass.EventHandler,self.y0,WRITE
EventHandler,./apps/matplotlib/galleries/examples/event_handling/looking_glass.py,looking_glass.EventHandler,self.pressevent,WRITE
PointBrowser,./apps/matplotlib/galleries/examples/event_handling/data_browser.py,data_browser.PointBrowser,self.lastind,WRITE
