callerfilename,callermodule,caller,callee
./apps/matplotlib/galleries/examples/user_interfaces/mathtext_wx_sgskip.py,mathtext_wx_sgskip,mathtext_to_wxbitmap,np.log
./apps/matplotlib/lib/matplotlib/axes/_axes.py,matplotlib.axes._axes,pcolor,stack
./apps/matplotlib/lib/matplotlib/axes/_axes.py,matplotlib.axes._axes,_kde_method,np.all
./apps/matplotlib/lib/mpl_toolkits/mplot3d/axes3d.py,matplotlib.mplot3d.axes3d,calc_arrows,np.einsum
./apps/matplotlib/lib/matplotlib/tests/test_backends_interactive.py,matplotlib.tests.test_backends_interactive,test_other_signal_before_sigint,print
./apps/matplotlib/lib/matplotlib/tests/test_ticker.py,matplotlib.tests.test_ticker,logit_deformatter,int
./apps/matplotlib/lib/matplotlib/tests/test_patches.py,matplotlib.tests.test_patches,test_rotated_arcs,enumerate
./apps/matplotlib/lib/matplotlib/image.py,matplotlib.image,imsave,np.require
./apps/matplotlib/lib/matplotlib/tests/test_mathtext.py,matplotlib.tests.test_mathtext,test_mathtext_rendering_lightweight,enumerate
./apps/matplotlib/lib/mpl_toolkits/mplot3d/art3d.py,matplotlib.mplot3d.art3d,_all_points_on_plane,np.cross
./apps/matplotlib/lib/matplotlib/tests/test_collections.py,matplotlib.tests.test_collections,test__EventCollection__extend_positions,np.hstack
./apps/matplotlib/lib/matplotlib/cbook.py,matplotlib.cbook,_get_nonzero_slices,slice
./apps/matplotlib/lib/matplotlib/tests/test_category.py,matplotlib.tests.test_category,test_StrCategoryFormatter,enumerate
./apps/matplotlib/lib/matplotlib/tests/test_datetime.py,matplotlib.tests.test_datetime,test_stairs,int
./apps/matplotlib/galleries/examples/widgets/slider_snap_demo.py,slider_snap_demo,update,np.concatenate
./apps/matplotlib/lib/matplotlib/tests/test_axes.py,matplotlib.tests.test_axes,test_boxplot_sym,np.hstack
./apps/matplotlib/lib/matplotlib/backends/backend_pdf.py,matplotlib.backends.backend_pdf,__init__,super
./apps/matplotlib/lib/matplotlib/tests/test_axes.py,matplotlib.tests.test_axes,test_boxplot_bad_medians,np.hstack
./apps/matplotlib/lib/matplotlib/transforms.py,matplotlib.transforms,strrepr,repr
