file,operation
legend_picking,on_pick
keypress_demo,on_press
poly_editor,dist_point_to_segment
figure_axes_enter_leave,on_enter_axes
figure_axes_enter_leave,on_leave_axes
figure_axes_enter_leave,on_enter_figure
figure_axes_enter_leave,on_leave_figure
viewlims,update_rect
coords_demo,on_move
coords_demo,on_click
pong_sgskip,on_redraw
pong_sgskip,start_anim
zoom_window,on_press
ginput_manual_clabel_sgskip,tellme
ginput_manual_clabel_sgskip,f
timers,update_title
pick_event_demo,onpick1
pick_event_demo,line_picker
pick_event_demo,onpick2
pick_event_demo,onpick3
pick_event_demo,onpick4
close_event,on_close
pick_event_demo2,onpick
trifinder_event_demo,update_polygon
trifinder_event_demo,on_mouse_move
confidence_ellipse,confidence_ellipse
confidence_ellipse,get_correlated_dataset
errorbars_and_boxes,make_error_boxes
customized_violin,adjacent_values
customized_violin,set_axis_style
boxplot_demo,fake_bootstrapper
check_buttons,callback
menu,on_select
span_selector,onselect
lasso_selector_demo_sgskip,accept
rectangle_selector,select_callback
rectangle_selector,toggle_selector
textbox,submit
radio_buttons,hzfunc
radio_buttons,colorfunc
radio_buttons,stylefunc
mouse_cursor,hover
range_slider,update
slider_snap_demo,update
slider_snap_demo,reset
slider_demo,f
slider_demo,update
slider_demo,reset
stackplot_demo,gaussian_mixture
stackplot_demo,add_random_gaussian
scatter_hist,scatter_hist
fill,koch_snowflake
fill,_koch_snowflake_complex
linestyles,plot_linestyles
horizontal_barchart_distribution,survey
multicolored_line,colored_line
multicolored_line,colored_line_between_pts
timeline,is_feature
hat_graph,hat_graph
hat_graph,label_bars
marker_reference,format_axes
marker_reference,split_list
curve_error_band,draw_error_band
gradient_bar,gradient_image
gradient_bar,gradient_bar
demo_axes_grid2,add_inner_title
demo_axes_divider,get_demo_image
demo_axes_divider,demo_simple_image
demo_axes_divider,demo_locatable_axes_hard
demo_axes_divider,demo_locatable_axes_easy
demo_axes_divider,demo_images_side_by_side
demo_axes_divider,demo
inset_locator_demo2,add_sizebar
simple_axes_divider1,label_axes
simple_anchored_artists,draw_text
simple_anchored_artists,draw_circle
simple_anchored_artists,draw_sizebar
demo_axes_rgb,get_rgb
demo_axes_rgb,make_cube
demo_axes_rgb,demo_rgb1
demo_axes_rgb,demo_rgb2
demo_edge_colorbar,get_demo_image
demo_edge_colorbar,demo_bottom_cbar
demo_edge_colorbar,demo_right_cbar
date_precision_and_epochs,_reset_epoch_for_tutorial
date_index_formatter,format_date
date_formatters_locators,plot_axis
tick-locators,setup
custom_ticker1,millions
tick_labels_from_values,format_fn
tick-formatters,setup
tick-formatters,fmt_two_digits
animated_histogram,animate
unchained,update
bayes_update,beta_pdf
simple_scatter,animate
animate_decay,data_gen
animate_decay,init
animate_decay,run
strip_chart,emitter
multiple_axes,animate
double_pendulum,derivs
double_pendulum,animate
rain,update
dynamic_image,f
simple_anim,animate
random_walk,random_walk
random_walk,update_lines
style_sheets_reference,plot_scatter
style_sheets_reference,plot_colored_lines
style_sheets_reference,sigmoid
style_sheets_reference,plot_bar_graphs
style_sheets_reference,plot_colored_circles
style_sheets_reference,plot_image_and_patch
style_sheets_reference,plot_histograms
style_sheets_reference,plot_figure
petroff10,colored_lines_example
petroff10,image_and_patch_example
grayscale,color_cycle_example
grayscale,image_and_patch_example
bmh,plot_beta_hist
basic_units,__new__
basic_units,convert
basic_units,rad_fn
basic_units,cos
embedding_webagg_sgskip,create_figure
embedding_webagg_sgskip,shutdown
gtk4_spreadsheet_sgskip,on_activate
embedding_in_tk_sgskip,update_frequency
mathtext_wx_sgskip,mathtext_to_wxbitmap
embedding_in_gtk4_sgskip,on_activate
pylab_with_gtk3_sgskip,update
mplcvd,_get_color_filter
mplcvd,convert
mplcvd,filter_func
mplcvd,_set_menu_entry
mplcvd,setup
mplcvd,_setup_gtk
mplcvd,set_filter
mplcvd,_setup_qt
mplcvd,_setup_tk
mplcvd,_setup_wx
pylab_with_gtk4_sgskip,update
web_application_server_sgskip,hello
embedding_in_gtk4_panzoom_sgskip,on_activate
embedding_in_wx5_sgskip,demo
mpl_with_glade3_sgskip,main
pathpatch3d,text3d
lorenz_attractor,lorenz
scatter3d,randrange
view_planes_3d,annotate_axes
intersecting_planes,plot_quadrants
intersecting_planes,figure_3D_array_slices
mixed_subplots,f
voxels_numpy_logo,explode
imshow3d,imshow3d
voxels_torus,midpoints
voxels_rgb,midpoints
spines_dropped,adjust_spines
affine_image,get_image
affine_image,do_plot
image_annotated_heatmap,heatmap
image_annotated_heatmap,annotate_heatmap
image_annotated_heatmap,func
layer_images,func3
pcolormesh_grids,_annotate
image_zcoord,format_coord
trigradient_demo,dipole_potential
shading_example,main
shading_example,compare
image_transparency_blend,normal_pdf
image_exact_placement,annotate_rect
tricontour_smooth_user,function_z
tricontour_smooth_delaunay,experiment_res
colormap_normalizations_symlognorm,rbf
contour_label_demo,fmt
demo_floating_axes,setup_axes1
demo_floating_axes,setup_axes2
demo_floating_axes,setup_axes3
demo_curvelinear_grid,curvelinear_test1
demo_curvelinear_grid,tr
demo_curvelinear_grid,inv_tr
demo_curvelinear_grid,curvelinear_test2
demo_curvelinear_grid2,curvelinear_test1
demo_curvelinear_grid2,tr
demo_curvelinear_grid2,inv_tr
demo_ticklabel_direction,setup_axes
axis_direction,setup_axes
simple_axis_pad,setup_axes
simple_axis_pad,add_floating_axis1
simple_axis_pad,add_floating_axis2
simple_axis_pad,ann
simple_axis_direction03,setup_axes
demo_floating_axis,curvelinear_test2
demo_ticklabel_alignment,setup_axes
demo_axis_direction,setup_axes
demo_axis_direction,add_floating_axis1
demo_axis_direction,add_floating_axis2
pyplot_two_subplots,f
firefox,svg_parse
anatomy,annotate
mandelbrot,mandelbrot_set
integral,func
scales,forward
scales,inverse
symlog_demo,format_axes
font_family_rc,print_text
font_table,print_glyphs
font_table,draw_font_table
mathtext_examples,doall
usetex_fonteffects,setfont
arrow_demo,make_arrow_graph
demo_text_rotation_mode,test_rotation_mode
angles_on_bracket_arrows,get_point_of_rotated_vertical
angle_annotation,R90
angle_annotation,R
angle_annotation,plot_angle
mathtext_asarray,text_to_rgba
color_cycle_default,f
named_colors,plot_colortable
color_sequences,plot_color_sequences
colormap_reference,plot_color_gradients
pie_and_donut_labels,func
ishikawa_diagram,problems
ishikawa_diagram,causes
ishikawa_diagram,draw_body
ishikawa_diagram,draw_spine
advanced_hillshading,display_colorbar
advanced_hillshading,avoid_outliers
advanced_hillshading,shade_other_data
leftventricle_bullseye,bullseye_plot
radar_chart,radar_factory
radar_chart,example_data
hinton_demo,hinton
sankey_links,side
sankey_links,corner
hatch_style_reference,hatches_plot
donut,wise
donut,make_circle
fancybox_demo,add_fancy_patch_around
fancybox_demo,draw_control_points_for_patches
findobj_demo,myfunc
coords_report,millions
multiprocess_sgskip,main
logos2,get_font_properties
logos2,create_icon_axes
logos2,create_text_axes
logos2,make_logo
demo_agg_filter,smooth1d
demo_agg_filter,smooth2d
demo_agg_filter,filtered_text
demo_agg_filter,drop_shadow_line
demo_agg_filter,drop_shadow_patches
demo_agg_filter,light_filter_pie
anchored_artists,draw_text
anchored_artists,draw_circles
anchored_artists,draw_ellipse
anchored_artists,draw_sizebar
demo_ribbon_box,main
secondary_axis,deg2rad
secondary_axis,rad2deg
secondary_axis,one_over
secondary_axis,forward
secondary_axis,inverse
secondary_axis,date2yday
secondary_axis,yday2date
secondary_axis,celsius_to_fahrenheit
secondary_axis,fahrenheit_to_celsius
secondary_axis,celsius_to_anomaly
secondary_axis,anomaly_to_celsius
gridspec_multicolumn,format_axes
auto_subplots_adjust,on_draw
fahrenheit_celsius_scales,fahrenheit2celsius
fahrenheit_celsius_scales,make_plot
fahrenheit_celsius_scales,convert_ax_c_to_celsius
demo_constrained_layout,example_plot
axes_margins,f
gridspec_nested,format_axes
axes_zoom_effect,connect_bbox
axes_zoom_effect,zoom_effect01
axes_zoom_effect,zoom_effect02
demo_tight_layout,example_plot
gridspec_customization,annotate_axes
subplot2grid,annotate_axes
subfigures,example_plot
customizing,plotting_function
quick_start,my_plotter
annotations,custom_box_style
text_intro,formatoddticks
imshow_extent,index_to_coordinate
imshow_extent,get_index_label_pos
imshow_extent,get_color
imshow_extent,lookup_extent
imshow_extent,set_extent_None_text
imshow_extent,plot_imshow_with_labels
imshow_extent,generate_imshow_demo_grid
animations,update
colormapnorms,_forward
colormapnorms,_inverse
colors,demo
colormap-manipulation,plot_examples
colormap-manipulation,plot_linearmap
colormaps,plot_color_gradients
colormaps,plot_color_gradients
axes_ticks,setup
axes_ticks,setup
axes_ticks,fmt_two_digits
arranging_axes,annotate_axes
arranging_axes,squiggle_xy
mosaic,identify_axes
axes_scales,forward
axes_scales,inverse
constrainedlayout_guide,example_plot
tight_layout_guide,example_plot
lifecycle,currency
pyplot,f
conf,_parse_skip_subdirs_file
conf,_check_dependencies
conf,tutorials_download_error
conf,autodoc_process_bases
conf,gallery_image_warning_filter
conf,add_html_cache_busting
conf,css_tag_with_cache_busting
conf,js_tag_with_cache_busting
conf,linkcode_resolve
conf,generate_ScalarMappable_docs
conf,setup
generate_credits,check_duplicates
generate_credits,generate_credits
sphinxext.github,make_link_node
sphinxext.github,ghissue_role
sphinxext.github,ghuser_role
sphinxext.github,ghcommit_role
sphinxext.github,setup
sphinxext.skip_deprecated,skip_deprecated
sphinxext.skip_deprecated,setup
sphinxext.redirect_from,setup
sphinxext.redirect_from,_generate_redirects
sphinxext.redirect_from,_clear_redirects
sphinxext.math_symbol_table,run
sphinxext.math_symbol_table,render_symbol
sphinxext.math_symbol_table,setup
sphinxext.util,matplotlib_reduced_latex_scraper
sphinxext.util,clear_basic_units
sphinxext.mock_gui_toolkits,setup
sphinxext.missing_references,get_location
sphinxext.missing_references,_truncate_location
sphinxext.missing_references,handle_missing_reference
sphinxext.missing_references,warn_unused_missing_references
sphinxext.missing_references,save_missing_references
sphinxext.missing_references,_write_missing_references_json
sphinxext.missing_references,_read_missing_references_json
sphinxext.missing_references,prepare_missing_references_setup
sphinxext.missing_references,setup
sphinxext.axes_margins,arrow
matplotlib.transforms,_make_str_method
matplotlib.transforms,strrepr
matplotlib.transforms,__init_subclass__
matplotlib.transforms,blended_transform_factory
matplotlib.transforms,composite_transform_factory
matplotlib.transforms,nonsingular
matplotlib.transforms,interval_contains
matplotlib.transforms,_interval_contains_close
matplotlib.transforms,interval_contains_open
matplotlib.transforms,offset_copy
matplotlib.ticker,scale_range
matplotlib.ticker,_is_decade
matplotlib.ticker,_decade_less_equal
matplotlib.ticker,_decade_greater_equal
matplotlib.ticker,_decade_less
matplotlib.ticker,_decade_greater
matplotlib.ticker,_is_close_to_int
matplotlib.ticker,get_log_range
matplotlib.ticker,ideal_ticks
matplotlib.patches,line_circle_intersect
matplotlib.patches,segment_circle_intersect
matplotlib.patches,theta_stretch
matplotlib.patches,bbox_artist
matplotlib.patches,draw_bbox
matplotlib.patches,__init_subclass__
matplotlib.patches,__new__
matplotlib.patches,get_styles
matplotlib.patches,pprint_styles
matplotlib.patches,register
matplotlib.patches,_register_style
matplotlib.patches,_point_along_a_line
matplotlib.image,composite_images
matplotlib.image,_draw_list_compositing_images
matplotlib.image,flush_images
matplotlib.image,_resample
matplotlib.image,_rgb_to_rgba
matplotlib.image,imread
matplotlib.image,imsave
matplotlib.image,pil_to_array
matplotlib.image,_pil_png_to_float_array
matplotlib.image,thumbnail
matplotlib.stackplot,stackplot
matplotlib.animation,adjusted_figsize
matplotlib.animation,correct_roundoff
matplotlib.animation,wrapper
matplotlib.animation,bin_path
matplotlib.animation,isAvailable
matplotlib.animation,isAvailable
matplotlib.animation,bin_path
matplotlib.animation,isAvailable
matplotlib.animation,_included_frames
matplotlib.animation,_embedded_frames
matplotlib.animation,isAvailable
matplotlib.animation,_pre_composite_to_white
matplotlib.animation,iter_frames
matplotlib.animation,gen
matplotlib.animation,_validate_grabframe_kwargs
matplotlib.quiver,_parse_args
matplotlib.quiver,_check_consistent_shapes
matplotlib._constrained_layout,do_constrained_layout
matplotlib._constrained_layout,make_layoutgrids
matplotlib._constrained_layout,make_layoutgrids_gs
matplotlib._constrained_layout,check_no_collapsed_axes
matplotlib._constrained_layout,compress_fixed_aspect
matplotlib._constrained_layout,get_margin_from_padding
matplotlib._constrained_layout,make_layout_margins
matplotlib._constrained_layout,make_margin_suptitles
matplotlib._constrained_layout,match_submerged_margins
matplotlib._constrained_layout,get_cb_parent_spans
matplotlib._constrained_layout,get_pos_and_bbox
matplotlib._constrained_layout,reposition_axes
matplotlib._constrained_layout,reposition_colorbar
matplotlib._constrained_layout,reset_margins
matplotlib._constrained_layout,colorbar_get_pad
matplotlib.texmanager,_usepackage_if_not_loaded
matplotlib.texmanager,__new__
matplotlib.texmanager,_get_font_family_and_reduced
matplotlib.texmanager,_get_font_preamble_and_command
matplotlib.texmanager,get_basefile
matplotlib.texmanager,get_font_preamble
matplotlib.texmanager,get_custom_preamble
matplotlib.texmanager,_get_tex_source
matplotlib.texmanager,make_tex
matplotlib.texmanager,_run_checked_subprocess
matplotlib.texmanager,make_dvi
matplotlib.texmanager,make_png
matplotlib.texmanager,get_grey
matplotlib.texmanager,get_rgba
matplotlib.texmanager,get_text_width_height_descent
matplotlib._mathtext,get_unicode_index
matplotlib._mathtext,_get_font_constant_set
matplotlib._mathtext,ship
matplotlib._mathtext,clamp
matplotlib._mathtext,hlist_out
matplotlib._mathtext,vlist_out
matplotlib._mathtext,Error
matplotlib._mathtext,raise_error
matplotlib._mathtext,cmd
matplotlib._mathtext,names
matplotlib._mathtext,set_names_and_parse_actions
matplotlib._mathtext,csnames
matplotlib.text,_get_textbox
matplotlib.text,_get_text_metrics_with_cache
matplotlib.text,_get_text_metrics_with_cache_impl
matplotlib.text,is_offset
matplotlib.colors,get_named_colors_mapping
matplotlib.colors,_sanitize_extrema
matplotlib.colors,_is_nth_color
matplotlib.colors,is_color_like
matplotlib.colors,_has_alpha_channel
matplotlib.colors,_check_color_like
matplotlib.colors,same_color
matplotlib.colors,to_rgba
matplotlib.colors,_to_rgba_no_colorcycle
matplotlib.colors,to_rgba_array
matplotlib.colors,to_rgb
matplotlib.colors,to_hex
matplotlib.colors,_create_lookup_table
matplotlib.colors,color_block
matplotlib.colors,color_block
matplotlib.colors,make_norm_from_scale
matplotlib.colors,init
matplotlib.colors,_make_norm_from_scale
matplotlib.colors,_create_empty_object_of_class
matplotlib.colors,_picklable_norm_constructor
matplotlib.colors,rgb_to_hsv
matplotlib.colors,hsv_to_rgb
matplotlib.colors,_vector_magnitude
matplotlib.colors,from_levels_and_colors
matplotlib._mathtext_data,_normalize_stix_fontcodes
matplotlib._mathtext_data,_normalize_stix_fontcodes
matplotlib._mathtext_data,_normalize_stix_fontcodes
matplotlib._mathtext_data,_normalize_stix_fontcodes
matplotlib.backend_bases,register_backend
