source-path,source-module,source-operation,target-path,target-module,target-operation,direction
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,vx,apps/UXsim/uxsim/OSMImporter2/OSMImporter2.py,uxsim.OSMImporter2.OSMImporter2,y1,WRITE
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.od_dist_total,apps/UXsim/uxsim/Utilities/Utilities.py,uxsim.Utilities.Utilities,ddict,WRITE
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,s.signal_phase,apps/UXsim/uxsim/Utilities/Utilities.py,uxsim.Utilities.Utilities,i,WRITE
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,vx,apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,y2,WRITE
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,origs,apps/UXsim/uxsim/Utilities/Utilities.py,uxsim.Utilities.Utilities,W.get_nodes_in_area,WRITE
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.od_dist_std,apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,np.std,WRITE
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,vx,apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,x2,WRITE
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer.MainWindow,menu_settings,apps/UXsim/uxsim/Utilities/Utilities.py,uxsim.Utilities.Utilities,menu_bar.addMenu,WRITE
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,x0,apps/UXsim/uxsim/Utilities/Utilities.py,uxsim.Utilities.Utilities,link.start_node.x,WRITE
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,vx,apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,x1,WRITE
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.od_dist_ave,apps/UXsim/uxsim/Utilities/Utilities.py,uxsim.Utilities.Utilities,ddict,WRITE
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,y0,apps/UXsim/uxsim/Utilities/Utilities.py,uxsim.Utilities.Utilities,link.start_node.y,WRITE
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,dests,apps/UXsim/uxsim/Utilities/Utilities.py,uxsim.Utilities.Utilities,W.get_nodes_in_area,WRITE
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,vy,apps/UXsim/uxsim/OSMImporter2/OSMImporter2.py,uxsim.OSMImporter2.OSMImporter2,y1,WRITE
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.linkc_volume,apps/UXsim/uxsim/Utilities/Utilities.py,uxsim.Utilities.Utilities,ddict,WRITE
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer.MainWindow,option_curve_direction,apps/UXsim/uxsim/Utilities/Utilities.py,uxsim.Utilities.Utilities,menu_settings.addMenu,WRITE
