"module";"operation";"in-edges";"out-edges"
"lib_core.test_nditer_0_0.test_iter_writemasked_decref.f";"test_iter_writemasked_decref";"12";"0"
"om_typing._nested_sequence_0_0.np.count_nonzero.f";"count_nonzero";"0";"22"
"distutilscommand.build_src_0_0.build_extension_sources.f";"build_extension_sources";"16";"0"
"omma.core_0_0.modules.append.f";"append";"0";"3"
"lib_core.test_umath_0_0.test_cosh.f";"test_cosh";"6";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.pytest.mark.skipif.f";"skipif";"0";"227"
"lib_core.test_multiarray_0_0.test_trace_subclass.f";"test_trace_subclass";"6";"0"
"omma.core_0_0.np.arange.reshape.f";"reshape";"0";"272"
"lib_core.test_strings_0_0.test_mixed_string_comparison_ufuncs_fail.f";"test_mixed_string_comparison_ufuncs_fail";"4";"0"
"libtests.test_regression_0_0.pytest.raises.f";"raises";"0";"443"
"lif2py.symbolic_0_0.__rsub__.f";"__rsub__";"2";"0"
"lif2py.symbolic_0_0.as_number.f";"as_number";"3";"21"
"lib_core.arrayprint_0_0.str_format.f";"str_format";"3";"0"
"lif2py.auxfuncs_0_0.str.f";"str";"0";"278"
"tedistutils.ccompiler_0_0.CCompiler_cxx_compiler.f";"CCompiler_cxx_compiler";"8";"0"
"omma.mrecords_0_0.copy.f";"copy";"4";"1"
"lib_core.strings_0_0.center.f";"center";"12";"0"
"randomtests.test_smoke_0_0.np.issubdtype.f";"issubdtype";"0";"47"
"lib_core.test_dtype_0_0.iter_struct_object_dtypes.f";"iter_struct_object_dtypes";"3";"0"
"randomtests.test_smoke_0_0.np.dtype.f";"dtype";"0";"603"
"lib_core.test_multiarray_0_0.test_empty_files_text.f";"test_empty_files_text";"3";"0"
"distutilstests.test_ccompiler_opt_0_0.assert_.f";"assert_";"2";"1,132"
"lib_core.test_records_0_0.test_pickle_1.f";"test_pickle_1";"5";"0"
"omlib._twodim_base_impl_0_0.range.f";"range";"0";"575"
"testing_private.utils_0_0.build_err_msg.f";"build_err_msg";"12";"13"
"lib_core.test_ufunc_0_0.enumerate.f";"enumerate";"0";"70"
"randomtests.test_random_0_0.check_function.f";"check_function";"11";"0"
"libtests.test_regression_0_0.np.intp.f";"intp";"0";"12"
"lib_core.test_casting_floatingpoint_errors_0_0.values_and_dtypes.f";"values_and_dtypes";"10";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.np.f";"float64";"0";"61"
"lib_core.test_records_0_0.test_recarray_from_repr.f";"test_recarray_from_repr";"8";"0"
"omma.core_0_0.np.array.f";"array";"0";"2,294"
"libtests.test_twodim_base_0_0.test_binparameter_combination.f";"test_binparameter_combination";"3";"0"
"omlib._twodim_base_impl_0_0.histogram2d.f";"histogram2d";"5";"8"
"numpy.polynomial.tests.test_classes_0_0.test_dimensions.f";"test_dimensions";"4";"0"
"lib_core.test_cython_0_0.test_multiiter_fields.f";"test_multiiter_fields";"11";"0"
"omma.core_0_0.checks.get_multiiter_size.f";"get_multiiter_size";"0";"1"
"lib_core.test_umath_0_0.test_float_remainder_errors.f";"test_float_remainder_errors";"9";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.sys.platform.startswith.f";"startswith";"0";"22"
"testing_private.utils_0_0.decorate_methods.f";"decorate_methods";"8";"0"
