"source-path";"source-operation";"target-path";"target-operation";"calls"
"lib_core.test_nditer";"test_iter_writemasked_decref";"om_typing._nested_sequence";"np.count_nonzero";"1"
"distutilscommand.build_src";"build_extension_sources";"omma.core";"modules.append";"1"
"lib_core.test_umath";"test_cosh";"numpy.polynomial.tests.test_hermite_e";"pytest.mark.skipif";"2"
"lib_core.test_multiarray";"test_trace_subclass";"omma.core";"np.arange.reshape";"1"
"lib_core.test_strings";"test_mixed_string_comparison_ufuncs_fail";"libtests.test_regression";"pytest.raises";"2"
"lif2py.symbolic";"__rsub__";"lif2py.symbolic";"as_number";"1"
"lib_core.arrayprint";"str_format";"lif2py.auxfuncs";"str";"2"
"tedistutils.ccompiler";"CCompiler_cxx_compiler";"omma.mrecords";"copy";"1"
"lib_core.strings";"center";"randomtests.test_smoke";"np.issubdtype";"1"
"lib_core.test_dtype";"iter_struct_object_dtypes";"randomtests.test_smoke";"np.dtype";"4"
"lib_core.test_multiarray";"test_empty_files_text";"distutilstests.test_ccompiler_opt";"assert_";"1"
"lib_core.test_records";"test_pickle_1";"omlib._twodim_base_impl";"range";"1"
"testing_private.utils";"build_err_msg";"lib_core.test_ufunc";"enumerate";"1"
"randomtests.test_random";"check_function";"libtests.test_regression";"np.intp";"1"
"lib_core.test_casting_floatingpoint_errors";"values_and_dtypes";"numpy.polynomial.tests.test_hermite_e";"np.float64";"2"
"lib_core.test_records";"test_recarray_from_repr";"omma.core";"np.array";"1"
"libtests.test_twodim_base";"test_binparameter_combination";"omlib._twodim_base_impl";"histogram2d";"2"
"numpy.polynomial.tests.test_classes";"test_dimensions";"omlib._twodim_base_impl";"range";"1"
"lib_core.test_cython";"test_multiiter_fields";"omma.core";"checks.get_multiiter_size";"1"
"lib_core.test_umath";"test_float_remainder_errors";"numpy.polynomial.tests.test_hermite_e";"sys.platform.startswith";"1"
"testing_private.utils";"decorate_methods";"numpy.polynomial.tests.test_hermite_e";"funcname.startswith";"1"
"lib_core.test_multiarray";"test_partition_fp";"numpy.matlib";"np.random.RandomState";"1"
"randomtests.test_randomstate";"test_size";"omma.testutils";"assert_equal";"6"
"lib_core.test_numeric";"_generate_int_data";"numpy.matlib";"rand";"1"
"lib_core.records";"fromfile";"numpy.polynomial.tests.test_hermite_e";"fd.readinto";"1"
"lif2py.symbolic";"restore";"libtests.test_regression";"zip";"2"
"tedistutils.ccompiler";"single_compile";"numpy.polynomial.tests.test_hermite_e";"_processing_files.remove";"1"
"lif2py.symbolic";"repl";"numpy.polynomial.tests.test_hermite_e";"format";"1"
"numpy.polynomial.hermite_e";"hermeder";"numpy.matlib";"np.empty";"1"
"omlib._function_base_impl";"delete";"lib_core.records";"list";"1"
"lib_core.test_ufunc";"test_cross1d";"distutilstests.test_ccompiler_opt";"assert_";"1"
"omtests.test_old_ma";"test_testMinMax2";"omma.core";"maximum.reduce";"1"
"libtests.test_twodim_base";"test_basic";"omlib._twodim_base_impl";"range";"1"
"lib_core.test_records";"test_recarray_returntypes";"tedistutils.mingw32ccompiler";"type";"9"
"linalgtests.test_linalg";"test_upper_lower_arg";"libtests.test_regression";"np.arange";"2"
"lib_core.test_longdouble";"test_fromstring";"numpy.polynomial.tests.test_hermite_e";"np.fromstring";"1"
"numpy.polynomial.tests.test_printing";"use_ascii";"numpy.polynomial.tests.test_hermite_e";"pytest.fixture";"3"
"lib_core.test_function_base";"test_dtype";"libtests.test_regression";"linspace";"3"
"omtests.test_core";"test_concatenate_flexible";"numpy.matlib";"np.random.rand";"1"
"numpy.polynomial.hermite_e";"hermegauss";"omma.core";"np.abs.max";"1"
"libtests.test__datasource";"test_CachedHTTPFile";"libtests.test__datasource";"valid_httpurl";"1"
"omma.extras";"_median";"_core";"slice";"2"
"omlib._polynomial_impl";"__rsub__";"numpy.polynomial.polynomial";"polysub";"1"
"omlib._function_base_impl";"interp";"numpy.polynomial.tests.test_hermite_e";"interp_func";"1"
"libtests.test_nanfunctions";"test_keepdims";"numpy.polynomial.tests.test_hermite_e";"f";"4"
"lib_core.test_regression";"test_object_array_refcounting";"omma.core";"x.choose";"1"
"omma.testutils";"approx";"lib_core.fromnumeric";"d.ravel";"1"
"omlib._arraysetops_impl";"ediff1d";"tedistutils.from_template";"conv.conv.ravel";"1"
"randomtests.test_generator_mt19937";"test_noncentral_f";"libtests.test_regression";"np.all";"1"
"omlib._function_base_impl";"i0";"numpy.polynomial.tests.test_hermite_e";"array_function_dispatch";"1"
"tedistutils.system_info";"show_all";"numpy.polynomial.tests.test_hermite_e";"conf.get_info";"1"
"libtests.test_function_base";"test_right_open";"libtests.test_regression";"np.arange";"3"
"tedistutils.system_info";"get_atlas_version";"numpy.polynomial.tests.test_hermite_e";"cmd_config";"1"
"randomtests.test_random";"test_noncentral_f_small_df";"omma.core";"np.array";"1"
"lib_core.test_umath_complex";"f";"libtests.test_regression";"np.conj";"2"
"lib_core.arrayprint";"dtype_short_repr";"lif2py.auxfuncs";"str";"3"
"tedistutils.cpuinfo";"_is_r4650";"numpy.polynomial.tests.test_hermite_e";"self.__cputype";"1"
"lib_core.test_dtype";"check_pickling";"libtests.test_regression";"pickle.dumps";"1"
"lib_core.test_numeric";"test_out_scalar";"distutilstests.test_ccompiler_opt";"assert_";"3"
"randomtests.test_generator_mt19937_regressions";"test_beta_small_parameters";"distutilstests.test_ccompiler_opt";"assert_";"1"
"numpy.polynomial._polybase";"__format__";"numpy.polynomial.tests.test_hermite_e";"self.__str__";"1"
"tedistutils.system_info";"calc_libraries_info";"numpy.polynomial.tests.test_hermite_e";"self.get_runtime_lib_dirs";"2"
"lib_core.test_longdouble";"test_array_repr";"libtests.test_function_base";"ValueError";"1"
"libtests.test_io";"test_1D";"randomtests.test_extending";"np.loadtxt";"2"
"numpy.polynomial.tests.test_polynomial";"test_polyfromroots";"numpy.polynomial._polybase";"poly.polyfromroots";"2"
"lib_core.test_regression";"test_lexsort_buffer_length";"libtests.test_regression";"np.arange";"1"
"libtests.test_arraypad";"test_repeated_wrapping_multiple_origin";"omma.core";"np.array";"1"
"lib_core.test_nditer";"test_iter_best_order_c_index_1d";"lib_core.test_ufunc";"nditer";"2"
"omtests.test_core";"test_filled_with_nested_dtype";"omma.core";"np.array";"2"
"lib_core.test_numeric";"test_filled_like";"libtests.test_regression";"np.int64";"1"
"numpy.polynomial.tests.test_classes";"test_divmod";"numpy.matlib";"random";"3"
"numpy.polynomial.tests.test_symbol";"test_integ";"omma.testutils";"assert_equal";"1"
"lib_core.test_datetime";"test_datetime_like";"numpy.matlib";"np.ones_like";"2"
"lib_core.test_stringdtype";"test_bytes_casts";"libtests.test_regression";"pytest.raises";"1"
"lif2py.crackfortran";"get_parameters";"libtests.test_regression";"re.compile";"3"
"f2pytests.test_array_from_pyobj";"test_cache_hidden";"lif2py.auxfuncs";"str";"1"
"libtests.test_type_check";"test_scalar";"distutilstests.test_ccompiler_opt";"assert_";"2"
"lif2py.crackfortran";"get_parameters";"omlib._twodim_base_impl";"isstring";"1"
"libtests.test_function_base";"test_extended_axis";"numpy.matlib";"np.random.normal";"2"
"lib_core.test_cpu_features";"test_impossible_feature_enable";"numpy.polynomial.tests.test_hermite_e";"self._expect_error";"3"
"tedistutils.conv_template";"resolve_includes";"libtests.test_regression";"os.path.dirname";"1"
"lib_core.test_mem_overlap";"test_shares_memory_api";"libtests.test_regression";"np.shares_memory";"4"
"omtests.test_core";"test_reshape";"omma.core";"a.reshape";"4"
"lib_core.test_umath";"__ne__";"omma.testutils";"assert_equal";"1"
"lib_core.test_ufunc";"test_ufunc_at_inner_loops";"tedistutils.log";"warnings.catch_warnings";"2"
"lib_core.test_arrayprint";"test_bad_args";"distutilstests.test_ccompiler_opt";"assert_raises";"5"
"randomtests.test_smoke";"test_random";"_core";"len";"1"
"numpy.polynomial.tests.test_hermite_e";"test_hermex";"libtests.test_regression";"np.linspace";"1"
"f2pytests.test_array_from_pyobj";"__init__";"omma.core";"np.array.reshape.copy";"1"
"lib_core.test_multiarray";"test_dotcolumnvect2";"omma.testutils";"assert_almost_equal";"1"
"lib_core._exceptions";"__str__";"numpy.polynomial.tests.test_hermite_e";"self._size_to_string";"1"
"lib_core.test_umath";"test_spacingl";"numpy.polynomial.tests.test_hermite_e";"pytest.mark.xfail";"1"
"libtests.test_packbits";"test_packbits_empty";"omma.testutils";"assert_equal";"2"
"randomtests.test_randomstate";"check_function";"lib_core.test_ufunc";"x.start";"1"
"randomtests.test_generator_mt19937";"test_empty_outputs";"omtests.test_core.M";"MT19937";"1"
"ffttests.test_pocketfft";"test_rfft_odd";"numpy.polynomial.tests.test_hermite_e";"np.fft.rfft";"1"
"libtests.test_polynomial";"test_zero_poly_dtype";"libtests.test_regression";"z.astype";"3"
"typingtests.ndarray_misc";"test_issubclass";"lib_core.fromnumeric";"A.var";"4"
"omtests.test_ctypeslib";"test_basic2";"numpy.ctypeslib";"load_library";"1"
"lib_core.test_casting_unittests";"test_object_to_parametric_internal_error";"tedistutils.mingw32ccompiler";"type";"2"
"randomtests.test_generator_mt19937";"test_shuffle_custom_axis";"numpy.matlib";"random.shuffle";"2"
"f2pytests.test_character";"test_inout_varia";"omma.core";"np.array";"4"
"lib_core.test_dtype";"test_subarray_list";"omma.core";"np.array";"1"
"typingtests.ndarray_shape_manipulation";"__array__";"omma.core";"nd2.transpose";"3"
"lib_core.einsumfunc";"einsum_path";"omma.core";"input_list.pop";"1"
"f2pytests.test_callback";"test_string_callback_array";"omma.core";"np.array";"1"
"distutilscommand.config_compiler";"finalize_options";"_core";"len";"2"
"lib_core.test_stringdtype";"test_float_casts";"randomtests.test_smoke";"np.dtypes.Float64DType";"1"
"lib_core.test_dlpack";"test_dlpack_device";"libtests.test_regression";"z.__dlpack_device__";"1"
"randomtests.test_generator_mt19937";"test_generator_ctor_old_style_pickle";"liblinalg._linalg";"rg.standard_normal";"1"
"randomtests.test_direct";"test_getstate";"omlib._npyio_impl";"bit_generator.__getstate__";"1"
"omtests.test_core";"test_view_to_subdtype";"distutilstests.test_ccompiler_opt";"assert_";"3"
"tedistutils.ccompiler_opt";"ver_flags";"numpy.polynomial.tests.test_hermite_e";"f.split";"1"
"libtests.test_io";"test_skip_footer_with_invalid";"omma.testutils";"assert_equal";"4"
"lib_core.test_function_base";"test_start_stop_array";"lib_core.shape_base";"stack";"6"
"numpy.polynomial.tests.test_hermite";"test_hermpow";"omlib._twodim_base_impl";"range";"2"
"lib_core.test_datetime";"test_pickle";"omlib._twodim_base_impl";"range";"1"
"f2pytests.test_symbolic";"test_operations";"libtests.test_regression";"repr";"1"
"randomtests.test_generator_mt19937";"test_beta";"lib_core.test_ufunc";"Generator";"3"
"lib_core.test_dtype";"test_field_order_equality";"randomtests.test_smoke";"np.dtype";"2"
"omtests.test_core";"test_flatten_mask";"numpy.polynomial.tests.test_hermite_e";"flatten_mask";"3"
