common-block,file,module,operation,direction
PytestTester,/home/dl/.local/lib/python3.10/site-packages/numpy/_pytesttester.py,numpy._pytesttester.PytestTester,self.module_name,WRITE
ABCPolyBase,/home/dl/.local/lib/python3.10/site-packages/numpy/polynomial/_polybase.py,numpy.polynomial._polybase.ABCPolyBase,++empty++,WRITE
ABCPolyBase,/home/dl/.local/lib/python3.10/site-packages/numpy/polynomial/_polybase.py,numpy.polynomial._polybase.ABCPolyBase,self.coef,WRITE
ABCPolyBase,/home/dl/.local/lib/python3.10/site-packages/numpy/polynomial/_polybase.py,numpy.polynomial._polybase.ABCPolyBase,self._symbol,WRITE
_DomainCheckInterval,/home/dl/.local/lib/python3.10/site-packages/numpy/ma/core.py,omma.core._DomainCheckInterval,self.a,WRITE
_DomainCheckInterval,/home/dl/.local/lib/python3.10/site-packages/numpy/ma/core.py,omma.core._DomainCheckInterval,self.b,WRITE
_DomainTan,/home/dl/.local/lib/python3.10/site-packages/numpy/ma/core.py,omma.core._DomainTan,self.eps,WRITE
_DomainSafeDivide,/home/dl/.local/lib/python3.10/site-packages/numpy/ma/core.py,omma.core._DomainSafeDivide,self.tolerance,WRITE
_DomainGreater,/home/dl/.local/lib/python3.10/site-packages/numpy/ma/core.py,omma.core._DomainGreater,self.critical_value,WRITE
_DomainGreaterEqual,/home/dl/.local/lib/python3.10/site-packages/numpy/ma/core.py,omma.core._DomainGreaterEqual,self.critical_value,WRITE
_MaskedUFunc,/home/dl/.local/lib/python3.10/site-packages/numpy/ma/core.py,omma.core._MaskedUFunc,self.f,WRITE
_MaskedUFunc,/home/dl/.local/lib/python3.10/site-packages/numpy/ma/core.py,omma.core._MaskedUFunc,self.__doc__,WRITE
_MaskedUFunc,/home/dl/.local/lib/python3.10/site-packages/numpy/ma/core.py,omma.core._MaskedUFunc,self.__name__,WRITE
_MaskedUnaryOperation,/home/dl/.local/lib/python3.10/site-packages/numpy/ma/core.py,omma.core._MaskedUnaryOperation,self.fill,WRITE
_MaskedUnaryOperation,/home/dl/.local/lib/python3.10/site-packages/numpy/ma/core.py,omma.core._MaskedUnaryOperation,self.domain,WRITE
_MaskedUnaryOperation,/home/dl/.local/lib/python3.10/site-packages/numpy/ma/core.py,omma.core._MaskedUnaryOperation,ufunc_domain,WRITE
