$0;1752760525856416386;2.0.2;KIEKER;ZORGLUB-42;1;false;0;NANOSECONDS;0
$1;1752760530951735023;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530727177692;1752760530727535400;localhost;1;1
$1;1752760530951929565;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530740201867;1752760530740302082;localhost;2;1
$1;1752760530952567526;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530740450920;1752760530740494106;localhost;3;1
$1;1752760530952592245;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530740601346;1752760530740649522;localhost;4;1
$1;1752760530952671691;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530740734412;1752760530740775563;localhost;5;1
$1;1752760530952694633;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530740871643;1752760530740905907;localhost;6;1
$1;1752760530952726301;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530741000209;1752760530741192622;localhost;7;1
$1;1752760530952747777;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530741487518;1752760530741656052;localhost;8;1
$1;1752760530952767632;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530741878950;1752760530741949388;localhost;9;1
$1;1752760530952795579;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530742047419;1752760530742379637;localhost;10;1
$1;1752760530952811793;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530742499937;1752760530742544969;localhost;11;1
$1;1752760530952830555;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530742651545;1752760530742688926;localhost;12;1
$1;1752760530952849449;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530742774896;1752760530742805136;localhost;13;1
$1;1752760530952867164;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530742878311;1752760530742929658;localhost;14;1
$1;1752760530952887019;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530742994334;1752760530743023420;localhost;15;1
$1;1752760530952905551;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530743099701;1752760530743135892;localhost;16;1
$1;1752760530952925115;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530743193207;1752760530743353077;localhost;17;1
$1;1752760530952945317;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530743444091;1752760530743478872;localhost;18;1
$1;1752760530953007606;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530743542172;1752760530743569736;localhost;19;1
$1;1752760530953043120;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530743654371;1752760530743682038;localhost;20;1
$1;1752760530953064498;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530743735623;1752760530743763781;localhost;21;1
$1;1752760530953086178;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530744413916;1752760530744669565;localhost;22;1
$1;1752760530953105450;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530744817525;1752760530744856722;localhost;23;1
$1;1752760530953123825;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530744946694;1752760530744978100;localhost;24;1
$1;1752760530953142695;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530745047066;1752760530745077622;localhost;25;1
$1;1752760530953162882;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530745132491;1752760530745160086;localhost;26;1
$1;1752760530953183156;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530745213194;1752760530745369470;localhost;27;1
$1;1752760530953201470;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530745664893;1752760530745713862;localhost;28;1
$1;1752760530953217772;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530745786300;1752760530745822915;localhost;29;1
$1;1752760530953235136;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530745883210;1752760530745928777;localhost;30;1
$1;1752760530953256398;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530745992310;1752760530746029868;localhost;31;1
$1;1752760530953278342;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530746104082;1752760530746157562;localhost;32;1
$1;1752760530953298291;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530746232276;1752760530746283287;localhost;33;1
$1;1752760530953316997;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530746341421;1752760530746624470;localhost;34;1
$1;1752760530953335658;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530746716853;1752760530746752818;localhost;35;1
$1;1752760530953374805;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530747002014;1752760530747046442;localhost;36;1
$1;1752760530953393938;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530747406237;1752760530747453052;localhost;37;1
$1;1752760530953411946;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530747741827;1752760530747785024;localhost;38;1
$1;1752760530953429187;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530747874693;1752760530747923848;localhost;39;1
$1;1752760530953446284;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530748005005;1752760530748037625;localhost;40;1
$1;1752760530953467000;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530748532614;1752760530748670417;localhost;41;1
$1;1752760530953496849;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530748886635;1752760530749018759;localhost;42;1
$1;1752760530953515736;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530749393217;1752760530749442587;localhost;43;1
$1;1752760530953531041;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530751208570;1752760530751494341;localhost;44;1
$1;1752760530953547633;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530752687577;1752760530752798845;localhost;45;1
$1;1752760530953561422;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530762787624;1752760530762891548;localhost;46;1
$1;1752760530953575984;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530763042132;1752760530763085091;localhost;47;1
$1;1752760530953625015;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530763167908;1752760530763205073;localhost;48;1
$1;1752760530953641729;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530763274607;1752760530763311110;localhost;49;1
$1;1752760530953660220;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530763396416;1752760530763581902;localhost;50;1
$1;1752760530953678540;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530763684834;1752760530763933383;localhost;51;1
$1;1752760530953700045;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530764111884;1752760530764158306;localhost;52;1
$1;1752760530953732349;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530764226689;1752760530764268886;localhost;53;1
$1;1752760530953750492;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530764347816;1752760530764404061;localhost;54;1
$1;1752760530953767333;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530764480190;1752760530764693984;localhost;55;1
$1;1752760530953844416;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530764788152;1752760530764829756;localhost;56;1
$1;1752760530953865740;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530764997631;1752760530765035858;localhost;57;1
$1;1752760530953881015;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530765153973;1752760530765208791;localhost;58;1
$1;1752760530953895391;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530765297658;1752760530765338751;localhost;59;1
$1;1752760530953916063;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530765405565;1752760530765583570;localhost;60;1
$1;1752760530953929108;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530765681167;1752760530765723954;localhost;61;1
$1;1752760530953946916;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530765790920;1752760530765821619;localhost;62;1
$1;1752760530953961567;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530765889316;1752760530765931504;localhost;63;1
$1;1752760530953976356;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530766002963;1752760530766040157;localhost;64;1
$1;1752760530953992001;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530766109497;1752760530766147545;localhost;65;1
$1;1752760530954004905;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530766212417;1752760530766247333;localhost;66;1
$1;1752760530954018277;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530766320459;1752760530766352711;localhost;67;1
$1;1752760530954031359;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530766415659;1752760530766596369;localhost;68;1
$1;1752760530954051392;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530766778091;1752760530766810489;localhost;69;1
$1;1752760530954063817;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530766972550;1752760530767009720;localhost;70;1
$1;1752760530954075488;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530767168085;1752760530767247999;localhost;71;1
$1;1752760530954087626;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530767323519;1752760530767410164;localhost;72;1
$1;1752760530954108846;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530767608374;1752760530767642681;localhost;73;1
$1;1752760530954133672;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530767706193;1752760530767741272;localhost;74;1
$1;1752760530954155613;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530767821899;1752760530767879145;localhost;75;1
$1;1752760530954168368;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530767955822;1752760530767990217;localhost;76;1
$1;1752760530954184718;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530768053682;1752760530768105224;localhost;77;1
$1;1752760530954198934;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530768168932;1752760530768205951;localhost;78;1
$1;1752760530954212339;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530768263266;1752760530768458593;localhost;79;1
$1;1752760530954246733;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530768532682;1752760530768564107;localhost;80;1
$1;1752760530954261720;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530768624322;1752760530768653180;localhost;81;1
$1;1752760530954278195;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530768717600;1752760530768750999;localhost;82;1
$1;1752760530954318513;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530768802740;1752760530768838783;localhost;83;1
$1;1752760530954349541;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530768908233;1752760530768944330;localhost;84;1
$1;1752760530954368580;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530769007709;1752760530769047573;localhost;85;1
$1;1752760530954386257;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530769108191;1752760530769139706;localhost;86;1
$1;1752760530954401346;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530769249902;1752760530769289181;localhost;87;1
$1;1752760530954417030;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530771253582;1752760530771351750;localhost;88;1
$1;1752760530954428626;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530771510999;1752760530771551648;localhost;89;1
$1;1752760530954443190;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530771629930;1752760530771693243;localhost;90;1
$1;1752760530954455521;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530771765884;1752760530771800303;localhost;91;1
$1;1752760530954467408;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530772102422;1752760530772142303;localhost;92;1
$1;1752760530954479769;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530775297937;1752760530775359123;localhost;93;1
$1;1752760530954491996;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752760530775463129;1752760530775742068;localhost;94;1
