callerfilename,callermodule,callerfunction,calleefilename,calleemodule,calleefunction
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,_save_all,./apps/Pillow/src/PIL/Image.py,PIL.Image,im.info.get
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,n_frames,./apps/Pillow/src/PIL/ImImagePlugin.py,PIL.ImImagePlugin,self.tell
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,_open,./apps/Pillow/src/PIL/_typing.py,PIL._typing,read
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,getcolor,./apps/Pillow/src/PIL/ImageQt.py,PIL.ImageQt,bytes
./apps/Pillow/src/PIL/Image.py,PIL.Image,resize,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin,callable
./apps/Pillow/src/PIL/Image.py,PIL.Image,_repr_image,++imported++,typing,io.BytesIO
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,n_frames,./apps/Pillow/src/PIL/ImImagePlugin.py,PIL.ImImagePlugin,self.seek
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,getcolor,inspect,inspect,repr
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,_open,./apps/Pillow/src/PIL/_binary.py,PIL._binary,i8
./apps/Pillow/src/PIL/XVThumbImagePlugin.py,PIL.XVThumbImagePlugin,_open,./apps/Pillow/src/PIL/Image.py,PIL.Image,s.strip.split
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,_save_all,./apps/Pillow/src/PIL/QoiImagePlugin.py,PIL.QoiImagePlugin,im.encoderinfo.get
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,getcolor,_sqlite3,_sqlite3,ValueError
./apps/Pillow/src/PIL/Image.py,PIL.Image,resize,./apps/Pillow/src/PIL/Jpeg2KImagePlugin.py,PIL.Jpeg2KImagePlugin,self.reduce
./apps/Pillow/src/PIL/Image.py,PIL.Image,_repr_image,./apps/Pillow/src/PIL/FontFile.py,PIL.FontFile,self.save
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,_open,./apps/Pillow/src/PIL/_typing.py,PIL._typing,read
./apps/Pillow/src/PIL/XVThumbImagePlugin.py,PIL.XVThumbImagePlugin,_open,builtins,builtins,s.strip
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,seek,./apps/Pillow/src/PIL/features.py,PIL.features,self._seek_check
./apps/Pillow/src/PIL/Image.py,PIL.Image,resize,./apps/Pillow/src/PIL/Jpeg2KImagePlugin.py,PIL.Jpeg2KImagePlugin,Image.reduce
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,_open,builtins,builtins,len
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,save,_sqlite3,_sqlite3,ValueError
./apps/Pillow/src/PIL/Image.py,PIL.Image,_repr_image,webbrowser,webbrowser,b.getvalue
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,_save_all,./apps/Pillow/src/PIL/QoiImagePlugin.py,PIL.QoiImagePlugin,im.encoderinfo.get
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,seek,./apps/Pillow/src/PIL/ImImagePlugin.py,PIL.ImImagePlugin,self._seek
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,_open,./apps/Pillow/src/PIL/_typing.py,PIL._typing,read
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,save,++imported++,math,isinstance
./apps/Pillow/src/PIL/Image.py,PIL.Image,_repr_png_,./apps/Pillow/src/PIL/IptcImagePlugin.py,PIL.IptcImagePlugin,self._repr_image
./apps/Pillow/src/PIL/XVThumbImagePlugin.py,PIL.XVThumbImagePlugin,_open,shutil,shutil,int
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,_save_all,./apps/Pillow/src/PIL/QoiImagePlugin.py,PIL.QoiImagePlugin,im.encoderinfo.get
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,_open,./apps/Pillow/src/PIL/_typing.py,PIL._typing,read
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,_seek,++imported++,math,isinstance
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,save,./apps/Pillow/src/PIL/WalImageFile.py,PIL.WalImageFile,open
./apps/Pillow/src/PIL/XVThumbImagePlugin.py,PIL.XVThumbImagePlugin,_open,shutil,shutil,int
./apps/Pillow/src/PIL/Image.py,PIL.Image,_repr_jpeg_,./apps/Pillow/src/PIL/IptcImagePlugin.py,PIL.IptcImagePlugin,self._repr_image
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,_open,++imported++,_binary,i32
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,_save_all,./apps/Pillow/src/PIL/QoiImagePlugin.py,PIL.QoiImagePlugin,im.encoderinfo.get
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,save,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,fp.write
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,_open,./apps/Pillow/src/PIL/_typing.py,PIL._typing,read
./apps/Pillow/src/PIL/XVThumbImagePlugin.py,PIL.XVThumbImagePlugin,_open,./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,ImagePalette.raw
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,_seek,builtins,builtins,len
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,_open,builtins,builtins,len
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,save,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,fp.write
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,_save_all,./apps/Pillow/src/PIL/QoiImagePlugin.py,PIL.QoiImagePlugin,im.encoderinfo.get
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,_seek,_sqlite3,_sqlite3,EOFError
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,_open,./apps/Pillow/src/PIL/_typing.py,PIL._typing,read
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,save,builtins,builtins,range
./apps/Pillow/src/PIL/Image.py,PIL.Image,__array_interface__,./apps/Pillow/src/PIL/ImageCms.py,PIL.ImageCms,self.tobytes
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,_open,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin,self.resources.append
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,_seek,++imported++,math,logger.debug
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,_save_all,./apps/Pillow/src/PIL/QoiImagePlugin.py,PIL.QoiImagePlugin,im.encoderinfo.get
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,save,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,fp.write
./apps/Pillow/src/PIL/XVThumbImagePlugin.py,PIL.XVThumbImagePlugin,_open,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile._Tile,ImageFile._Tile
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,_seek,./apps/Pillow/src/PIL/ImImagePlugin.py,PIL.ImImagePlugin,self.fp.tell
./apps/Pillow/src/PIL/Image.py,PIL.Image,__array_interface__,./apps/Pillow/src/PIL/ImageCms.py,PIL.ImageCms,self.tobytes
./apps/Pillow/src/PIL/XVThumbImagePlugin.py,PIL.XVThumbImagePlugin,_open,./apps/Pillow/src/PIL/ImImagePlugin.py,PIL.ImImagePlugin,self.fp.tell
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,save,builtins,builtins,range
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,_save_all,./apps/Pillow/src/PIL/QoiImagePlugin.py,PIL.QoiImagePlugin,im.encoderinfo.get
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,_seek,_sqlite3,_sqlite3,ValueError
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,save,builtins,builtins,len
./apps/Pillow/src/PIL/Image.py,PIL.Image,resize,./apps/Pillow/src/PIL/Image.py,PIL.Image,self._new
./apps/Pillow/src/PIL/XVThumbImagePlugin.py,PIL.XVThumbImagePlugin,_open,./apps/Pillow/src/PIL/WalImageFile.py,PIL.WalImageFile,Image.register_open
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,_open,++imported++,_binary,i32
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,_seek,./apps/Pillow/src/PIL/ImImagePlugin.py,PIL.ImImagePlugin,self.fp.seek
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,save,builtins,builtins,len
./apps/Pillow/src/PIL/Image.py,PIL.Image,resize,./apps/Pillow/src/PIL/IcoImagePlugin.py,PIL.IcoImagePlugin,self.im.resize
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,_open,./apps/Pillow/src/PIL/_typing.py,PIL._typing,read
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,_save_all,./apps/Pillow/src/PIL/QoiImagePlugin.py,PIL.QoiImagePlugin,im.encoderinfo.get
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,_seek,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin,self._frame_pos.append
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,save,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,fp.write
./apps/Pillow/src/PIL/Image.py,PIL.Image,__array_interface__,./apps/Pillow/src/PIL/Image.py,PIL.Image,_conv_type_shape
./apps/Pillow/src/PIL/Image.py,PIL.Image,reduce,++imported++,math,isinstance
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,_seek,++imported++,math,logger.debug
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,_save_all,./apps/Pillow/src/PIL/QoiImagePlugin.py,PIL.QoiImagePlugin,im.encoderinfo.get
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,save,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,fp.write
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,_open,./apps/Pillow/src/PIL/ImImagePlugin.py,PIL.ImImagePlugin,self.fp.tell
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,_seek,./apps/Pillow/src/PIL/ImImagePlugin.py,PIL.ImImagePlugin,self.fp.tell
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,save,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,fp.write
./apps/Pillow/src/PIL/Image.py,PIL.Image,__arrow_c_schema__,./apps/Pillow/src/PIL/ImageFont.py,PIL.ImageFont,self.load
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,_save_all,./apps/Pillow/src/PIL/QoiImagePlugin.py,PIL.QoiImagePlugin,im.encoderinfo.get
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,_seek,./apps/Pillow/src/PIL/ImageFont.py,PIL.ImageFont,self.tag_v2.load
./apps/Pillow/src/PIL/Image.py,PIL.Image,__arrow_c_schema__,./apps/Pillow/src/PIL/Image.py,PIL.Image,self.im.__arrow_c_schema__
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,save,./apps/Pillow/src/PIL/ContainerIO.py,PIL.ContainerIO,fp.close
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,_open,++imported++,_binary,i32
./apps/Pillow/src/PIL/Image.py,PIL.Image,reduce,./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,self.copy
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,_open,./apps/Pillow/src/PIL/_typing.py,PIL._typing,read
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,_save_all,./apps/Pillow/src/PIL/QoiImagePlugin.py,PIL.QoiImagePlugin,im.encoderinfo.get
./apps/Pillow/src/PIL/Image.py,PIL.Image,__arrow_c_array__,./apps/Pillow/src/PIL/ImageFont.py,PIL.ImageFont,self.load
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,_save_all,++imported++,math,isinstance
./apps/Pillow/src/PIL/Image.py,PIL.Image,__arrow_c_array__,./apps/Pillow/src/PIL/Image.py,PIL.Image,self.im.__arrow_c_schema__
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,_seek,builtins,builtins,len
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,raw,./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette.ImagePalette,ImagePalette
./apps/Pillow/src/PIL/Image.py,PIL.Image,reduce,./apps/Pillow/src/PIL/Image.py,PIL.Image,self.convert
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,_open,./apps/Pillow/src/PIL/ImImagePlugin.py,PIL.ImImagePlugin,self.fp.tell
./apps/Pillow/src/PIL/Image.py,PIL.Image,__arrow_c_array__,./apps/Pillow/src/PIL/Image.py,PIL.Image,self.im.__arrow_c_array__
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,_save_all,./apps/Pillow/src/PIL/ImageCms.py,PIL.ImageCms,exif.tobytes
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,_seek,./apps/Pillow/src/PIL/ImImagePlugin.py,PIL.ImImagePlugin,self.fp.seek
./apps/Pillow/src/PIL/Image.py,PIL.Image,reduce,./apps/Pillow/src/PIL/Jpeg2KImagePlugin.py,PIL.Jpeg2KImagePlugin,im.reduce
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,_open,./apps/Pillow/src/PIL/ImImagePlugin.py,PIL.ImImagePlugin,self.fp.seek
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,_seek,./apps/Pillow/src/PIL/ImageFont.py,PIL.ImageFont,self.tag_v2.load
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,_save_all,./apps/Pillow/src/PIL/QoiImagePlugin.py,PIL.QoiImagePlugin,im.encoderinfo.get
./apps/Pillow/src/PIL/Image.py,PIL.Image,reduce,./apps/Pillow/src/PIL/Image.py,PIL.Image,im.convert
./apps/Pillow/src/PIL/Image.py,PIL.Image,__getstate__,./apps/Pillow/src/PIL/ImageCms.py,PIL.ImageCms,self.tobytes
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,make_linear_lut,shutil,shutil,int
