common-block,file,module,operation,direction
Pen,./apps/Pillow/src/PIL/ImageDraw2.py,PIL.ImageDraw2.Pen,self.color,WRITE
Pen,./apps/Pillow/src/PIL/ImageDraw2.py,PIL.ImageDraw2.Pen,self.width,WRITE
Brush,./apps/Pillow/src/PIL/ImageDraw2.py,PIL.ImageDraw2.Brush,self.color,WRITE
Font,./apps/Pillow/src/PIL/ImageDraw2.py,PIL.ImageDraw2.Font,self.color,WRITE
Font,./apps/Pillow/src/PIL/ImageDraw2.py,PIL.ImageDraw2.Font,self.font,WRITE
Draw,./apps/Pillow/src/PIL/ImageDraw2.py,PIL.ImageDraw2.Draw,self.draw,WRITE
Draw,./apps/Pillow/src/PIL/ImageDraw2.py,PIL.ImageDraw2.Draw,self.image,WRITE
Draw,./apps/Pillow/src/PIL/ImageDraw2.py,PIL.ImageDraw2.Draw,self.transform,WRITE
PaletteFile,./apps/Pillow/src/PIL/PaletteFile.py,PIL.PaletteFile.PaletteFile,palette,WRITE
PaletteFile,./apps/Pillow/src/PIL/PaletteFile.py,PIL.PaletteFile.PaletteFile,self.palette,WRITE
FreeTypeFont,./apps/Pillow/src/PIL/ImageFont.py,PIL.ImageFont.FreeTypeFont,self.path,WRITE
FreeTypeFont,./apps/Pillow/src/PIL/ImageFont.py,PIL.ImageFont.FreeTypeFont,self.size,WRITE
FreeTypeFont,./apps/Pillow/src/PIL/ImageFont.py,PIL.ImageFont.FreeTypeFont,self.index,WRITE
FreeTypeFont,./apps/Pillow/src/PIL/ImageFont.py,PIL.ImageFont.FreeTypeFont,self.encoding,WRITE
FreeTypeFont,./apps/Pillow/src/PIL/ImageFont.py,PIL.ImageFont.FreeTypeFont,self.layout_engine,WRITE
TransposedFont,./apps/Pillow/src/PIL/ImageFont.py,PIL.ImageFont.TransposedFont,self.font,WRITE
TransposedFont,./apps/Pillow/src/PIL/ImageFont.py,PIL.ImageFont.TransposedFont,self.orientation,WRITE
PSDraw,./apps/Pillow/src/PIL/PSDraw.py,PIL.PSDraw.PSDraw,self.fp,WRITE
LutBuilder,./apps/Pillow/src/PIL/ImageMorph.py,PIL.ImageMorph.LutBuilder,self.lut,WRITE
MorphOp,./apps/Pillow/src/PIL/ImageMorph.py,PIL.ImageMorph.MorphOp,self.lut,WRITE
IcoFile,./apps/Pillow/src/PIL/IcoImagePlugin.py,PIL.IcoImagePlugin.IcoFile,s,WRITE
IcoFile,./apps/Pillow/src/PIL/IcoImagePlugin.py,PIL.IcoImagePlugin.IcoFile,self.buf,WRITE
IcoFile,./apps/Pillow/src/PIL/IcoImagePlugin.py,PIL.IcoImagePlugin.IcoFile,self.entry,WRITE
IcoFile,./apps/Pillow/src/PIL/IcoImagePlugin.py,PIL.IcoImagePlugin.IcoFile,self.nb_items,WRITE
IcoFile,./apps/Pillow/src/PIL/IcoImagePlugin.py,PIL.IcoImagePlugin.IcoFile,self.entry,WRITE
IcoFile,./apps/Pillow/src/PIL/IcoImagePlugin.py,PIL.IcoImagePlugin.IcoFile,self.entry,WRITE
PhotoImage,./apps/Pillow/src/PIL/ImageTk.py,PIL.ImageTk.PhotoImage,self.__mode,WRITE
PhotoImage,./apps/Pillow/src/PIL/ImageTk.py,PIL.ImageTk.PhotoImage,self.__size,WRITE
PhotoImage,./apps/Pillow/src/PIL/ImageTk.py,PIL.ImageTk.PhotoImage,self.__photo,WRITE
PhotoImage,./apps/Pillow/src/PIL/ImageTk.py,PIL.ImageTk.PhotoImage,self.tk,WRITE
BitmapImage,./apps/Pillow/src/PIL/ImageTk.py,PIL.ImageTk.BitmapImage,self.__mode,WRITE
BitmapImage,./apps/Pillow/src/PIL/ImageTk.py,PIL.ImageTk.BitmapImage,self.__size,WRITE
BitmapImage,./apps/Pillow/src/PIL/ImageTk.py,PIL.ImageTk.BitmapImage,self.__photo,WRITE
ContainerIO,./apps/Pillow/src/PIL/ContainerIO.py,PIL.ContainerIO.ContainerIO,self.fh,WRITE
ContainerIO,./apps/Pillow/src/PIL/ContainerIO.py,PIL.ContainerIO.ContainerIO,self.pos,WRITE
ContainerIO,./apps/Pillow/src/PIL/ContainerIO.py,PIL.ContainerIO.ContainerIO,self.offset,WRITE
ContainerIO,./apps/Pillow/src/PIL/ContainerIO.py,PIL.ContainerIO.ContainerIO,self.length,WRITE
ImageCmsProfile,./apps/Pillow/src/PIL/ImageCms.py,PIL.ImageCms.ImageCmsProfile,self.filename,WRITE
ImageCmsProfile,./apps/Pillow/src/PIL/ImageCms.py,PIL.ImageCms.ImageCmsProfile,self.product_name,WRITE
ImageCmsProfile,./apps/Pillow/src/PIL/ImageCms.py,PIL.ImageCms.ImageCmsProfile,self.product_info,WRITE
ImageCmsTransform,./apps/Pillow/src/PIL/ImageCms.py,PIL.ImageCms.ImageCmsTransform,self.input_mode,WRITE
ImageCmsTransform,./apps/Pillow/src/PIL/ImageCms.py,PIL.ImageCms.ImageCmsTransform,self.inputMode,WRITE
ImageCmsTransform,./apps/Pillow/src/PIL/ImageCms.py,PIL.ImageCms.ImageCmsTransform,self.output_mode,WRITE
ImageCmsTransform,./apps/Pillow/src/PIL/ImageCms.py,PIL.ImageCms.ImageCmsTransform,self.outputMode,WRITE
ImageCmsTransform,./apps/Pillow/src/PIL/ImageCms.py,PIL.ImageCms.ImageCmsTransform,self.output_profile,WRITE
Stat,./apps/Pillow/src/PIL/ImageStat.py,PIL.ImageStat.Stat,self.bands,WRITE
ImageDraw,./apps/Pillow/src/PIL/ImageDraw.py,PIL.ImageDraw.ImageDraw,blend,WRITE
ImageDraw,./apps/Pillow/src/PIL/ImageDraw.py,PIL.ImageDraw.ImageDraw,self._image,WRITE
ImageDraw,./apps/Pillow/src/PIL/ImageDraw.py,PIL.ImageDraw.ImageDraw,self.im,WRITE
ImageDraw,./apps/Pillow/src/PIL/ImageDraw.py,PIL.ImageDraw.ImageDraw,self.draw,WRITE
ImageDraw,./apps/Pillow/src/PIL/ImageDraw.py,PIL.ImageDraw.ImageDraw,self.mode,WRITE
ImageDraw,./apps/Pillow/src/PIL/ImageDraw.py,PIL.ImageDraw.ImageDraw,self.fill,WRITE
Iterator,./apps/Pillow/src/PIL/ImageSequence.py,PIL.ImageSequence.Iterator,self.im,WRITE
Iterator,./apps/Pillow/src/PIL/ImageSequence.py,PIL.ImageSequence.Iterator,self.position,WRITE
BdfFontFile,./apps/Pillow/src/PIL/BdfFontFile.py,PIL.BdfFontFile.BdfFontFile,s,WRITE
BdfFontFile,./apps/Pillow/src/PIL/BdfFontFile.py,PIL.BdfFontFile.BdfFontFile,props,WRITE
BdfFontFile,./apps/Pillow/src/PIL/BdfFontFile.py,PIL.BdfFontFile.BdfFontFile,comments,WRITE
BitStream,./apps/Pillow/src/PIL/MpegImagePlugin.py,PIL.MpegImagePlugin.BitStream,self.fp,WRITE
BitStream,./apps/Pillow/src/PIL/MpegImagePlugin.py,PIL.MpegImagePlugin.BitStream,self.bits,WRITE
BitStream,./apps/Pillow/src/PIL/MpegImagePlugin.py,PIL.MpegImagePlugin.BitStream,self.bitbuffer,WRITE
ImageQt,./apps/Pillow/src/PIL/ImageQt.py,PIL.ImageQt.ImageQt,im_data,WRITE
