name,files,modules,variables
Pen,./apps/Pillow/src/PIL/ImageDraw2.py,PIL.ImageDraw2.Pen,self.color
Pen,./apps/Pillow/src/PIL/ImageDraw2.py,PIL.ImageDraw2.Pen,self.width
Brush,./apps/Pillow/src/PIL/ImageDraw2.py,PIL.ImageDraw2.Brush,self.color
Font,./apps/Pillow/src/PIL/ImageDraw2.py,PIL.ImageDraw2.Font,self.color
Font,./apps/Pillow/src/PIL/ImageDraw2.py,PIL.ImageDraw2.Font,self.font
Draw,./apps/Pillow/src/PIL/ImageDraw2.py,PIL.ImageDraw2.Draw,self.draw
Draw,./apps/Pillow/src/PIL/ImageDraw2.py,PIL.ImageDraw2.Draw,self.image
Draw,./apps/Pillow/src/PIL/ImageDraw2.py,PIL.ImageDraw2.Draw,self.transform
PaletteFile,./apps/Pillow/src/PIL/PaletteFile.py,PIL.PaletteFile.PaletteFile,palette
PaletteFile,./apps/Pillow/src/PIL/PaletteFile.py,PIL.PaletteFile.PaletteFile,self.palette
FreeTypeFont,./apps/Pillow/src/PIL/ImageFont.py,PIL.ImageFont.FreeTypeFont,self.path
FreeTypeFont,./apps/Pillow/src/PIL/ImageFont.py,PIL.ImageFont.FreeTypeFont,self.size
FreeTypeFont,./apps/Pillow/src/PIL/ImageFont.py,PIL.ImageFont.FreeTypeFont,self.index
FreeTypeFont,./apps/Pillow/src/PIL/ImageFont.py,PIL.ImageFont.FreeTypeFont,self.encoding
FreeTypeFont,./apps/Pillow/src/PIL/ImageFont.py,PIL.ImageFont.FreeTypeFont,self.layout_engine
TransposedFont,./apps/Pillow/src/PIL/ImageFont.py,PIL.ImageFont.TransposedFont,self.font
TransposedFont,./apps/Pillow/src/PIL/ImageFont.py,PIL.ImageFont.TransposedFont,self.orientation
PSDraw,./apps/Pillow/src/PIL/PSDraw.py,PIL.PSDraw.PSDraw,self.fp
LutBuilder,./apps/Pillow/src/PIL/ImageMorph.py,PIL.ImageMorph.LutBuilder,self.lut
MorphOp,./apps/Pillow/src/PIL/ImageMorph.py,PIL.ImageMorph.MorphOp,self.lut
IcoFile,./apps/Pillow/src/PIL/IcoImagePlugin.py,PIL.IcoImagePlugin.IcoFile,s
