source-path,source-module,source-operation,target-path,target-module,target-operation,direction
./apps/Pillow/src/PIL/Image.py,PIL.Image,b,./apps/Pillow/src/PIL/XpmImagePlugin.py,PIL.XpmImagePlugin,io.BytesIO,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,self,./apps/Pillow/src/PIL/Image.py,PIL.Image,Image.reduce,WRITE
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,msg,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,repr,WRITE
./apps/Pillow/src/PIL/XVThumbImagePlugin.py,PIL.XVThumbImagePlugin,s,./apps/Pillow/src/PIL/XpmImagePlugin.py,PIL.XpmImagePlugin,s.strip.split,WRITE
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,loop,./apps/Pillow/src/PIL/ImageOps.py,PIL.ImageOps,im.encoderinfo.get,WRITE
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,minimize_size,./apps/Pillow/src/PIL/ImageOps.py,PIL.ImageOps,im.encoderinfo.get,WRITE
./apps/Pillow/src/PIL/XVThumbImagePlugin.py,PIL.XVThumbImagePlugin,self._size,./apps/Pillow/src/PIL/ImageOps.py,PIL.ImageOps,int,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,box,./apps/Pillow/src/PIL/ImageDraw.py,PIL.ImageDraw,box.box,WRITE
./apps/Pillow/src/PIL/XVThumbImagePlugin.py,PIL.XVThumbImagePlugin,self._size,./apps/Pillow/src/PIL/ImageOps.py,PIL.ImageOps,int,WRITE
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,kmin,./apps/Pillow/src/PIL/ImageOps.py,PIL.ImageOps,im.encoderinfo.get,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,box,./apps/Pillow/src/PIL/ImageDraw.py,PIL.ImageDraw,reduce_box.reduce_box,WRITE
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,data,./apps/Pillow/src/PIL/Image.py,PIL.Image,read,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,box,./apps/Pillow/src/PIL/ImageDraw.py,PIL.ImageDraw,factor_x,WRITE
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,kmax,./apps/Pillow/src/PIL/ImageOps.py,PIL.ImageOps,im.encoderinfo.get,WRITE
./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,fp,./apps/Pillow/src/PIL/ImageOps.py,PIL.ImageOps,open,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,box,./apps/Pillow/src/PIL/ImageDraw.py,PIL.ImageDraw,box.box,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,box,./apps/Pillow/src/PIL/ImageDraw.py,PIL.ImageDraw,reduce_box.reduce_box,WRITE
./apps/Pillow/src/PIL/XVThumbImagePlugin.py,PIL.XVThumbImagePlugin,self.palette,./apps/Pillow/src/PIL/FontFile.py,PIL.FontFile,ImagePalette.raw,WRITE
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,self.fp,./apps/Pillow/src/PIL/TarIO.py,PIL.TarIO,TiffImageFile,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,box,./apps/Pillow/src/PIL/IptcImagePlugin.py,PIL.IptcImagePlugin,factor_y,WRITE
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,allow_mixed,./apps/Pillow/src/PIL/ImageOps.py,PIL.ImageOps,im.encoderinfo.get,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,new,./apps/Pillow/src/PIL/JpegImagePlugin.py,PIL.JpegImagePlugin,Image,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,box,./apps/Pillow/src/PIL/ImageDraw.py,PIL.ImageDraw,box.box,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,box,./apps/Pillow/src/PIL/ImageDraw.py,PIL.ImageDraw,reduce_box.reduce_box,WRITE
./apps/Pillow/src/PIL/XVThumbImagePlugin.py,PIL.XVThumbImagePlugin,self.tile,./apps/Pillow/src/PIL/TarIO.py,PIL.TarIO,ImageFile._Tile,WRITE
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,lossless,./apps/Pillow/src/PIL/ImageOps.py,PIL.ImageOps,im.encoderinfo.get,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,box,./apps/Pillow/src/PIL/ImageDraw.py,PIL.ImageDraw,factor_x,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,box,./apps/Pillow/src/PIL/ImageDraw.py,PIL.ImageDraw,box.box,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,new,./apps/Pillow/src/PIL/JpegImagePlugin.py,PIL.JpegImagePlugin,Image,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,box,./apps/Pillow/src/PIL/ImageDraw.py,PIL.ImageDraw,reduce_box.reduce_box,WRITE
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,self.info,./apps/Pillow/src/PIL/Image.py,PIL.Image,data,WRITE
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,quality,./apps/Pillow/src/PIL/ImageOps.py,PIL.ImageOps,im.encoderinfo.get,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,box,./apps/Pillow/src/PIL/IptcImagePlugin.py,PIL.IptcImagePlugin,factor_y,WRITE
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,size,./apps/Pillow/src/PIL/TarIO.py,PIL.TarIO,i32,WRITE
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,alpha_quality,./apps/Pillow/src/PIL/ImageOps.py,PIL.ImageOps,im.encoderinfo.get,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,new.new,./apps/Pillow/src/PIL/ImageOps.py,PIL.ImageOps,_conv_type_shape,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,new.new,./apps/Pillow/src/PIL/ImageOps.py,PIL.ImageOps,_conv_type_shape,WRITE
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,end,./apps/Pillow/src/PIL/XpmImagePlugin.py,PIL.XpmImagePlugin,PsdImageFile,WRITE
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,method,./apps/Pillow/src/PIL/ImageOps.py,PIL.ImageOps,im.encoderinfo.get,WRITE
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,end,./apps/Pillow/src/PIL/ImageGrab.py,PIL.ImageGrab,size,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,factor,./apps/Pillow/src/PIL/IptcImagePlugin.py,PIL.IptcImagePlugin,factor,WRITE
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,icc_profile,./apps/Pillow/src/PIL/ImageOps.py,PIL.ImageOps,im.encoderinfo.get,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,factor,./apps/Pillow/src/PIL/IptcImagePlugin.py,PIL.IptcImagePlugin,factor,WRITE
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,size,./apps/Pillow/src/PIL/TarIO.py,PIL.TarIO,i32,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,box,./apps/Pillow/src/PIL/JpegImagePlugin.py,PIL.JpegImagePlugin,Image,WRITE
./apps/Pillow/src/PIL/WebPImagePlugin.py,PIL.WebPImagePlugin,exif,./apps/Pillow/src/PIL/ImageOps.py,PIL.ImageOps,im.encoderinfo.get,WRITE
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,self.__next,./apps/Pillow/src/PIL/TarIO.py,PIL.TarIO,TiffImageFile,WRITE
./apps/Pillow/src/PIL/Image.py,PIL.Image,im,./apps/Pillow/src/PIL/JpegImagePlugin.py,PIL.JpegImagePlugin,Image,WRITE
./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin,self._n_frames,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,frame,WRITE
./apps/Pillow/src/PIL/PsdImagePlugin.py,PIL.PsdImagePlugin,self._layers_position,./apps/Pillow/src/PIL/XpmImagePlugin.py,PIL.XpmImagePlugin,PsdImageFile,WRITE
