"module";"in-edges";"out-edges"
"lib_core.test_nditer_0_0.f";"705";"171"
"om_typing._nested_sequence_0_0.f";"1";"130"
"distutilscommand.build_src_0_0.f";"655";"133"
"omma.core_0_0.f";"1,480";"8,944"
"lib_core.test_umath_0_0.f";"1,302";"608"
"numpy.polynomial.tests.test_hermite_e_0_0.f";"182";"7,407"
"lib_core.test_multiarray_0_0.f";"3,102";"1,157"
"lib_core.test_strings_0_0.f";"258";"77"
"libtests.test_regression_0_0.f";"76";"7,091"
"lif2py.symbolic_0_0.f";"335";"330"
"lib_core.arrayprint_0_0.f";"211";"169"
"lif2py.auxfuncs_0_0.f";"234";"502"
"tedistutils.ccompiler_0_0.f";"153";"128"
"omma.mrecords_0_0.f";"166";"366"
"lib_core.strings_0_0.f";"160";"272"
"randomtests.test_smoke_0_0.f";"315";"1,033"
"lib_core.test_dtype_0_0.f";"483";"143"
"distutilstests.test_ccompiler_opt_0_0.f";"121";"2,183"
"lib_core.test_records_0_0.f";"175";"75"
"omlib._twodim_base_impl_0_0.f";"85";"1,973"
"testing_private.utils_0_0.f";"1,772";"384"
"lib_core.test_ufunc_0_0.f";"1,129";"2,555"
"randomtests.test_random_0_0.f";"528";"229"
"lib_core.test_casting_floatingpoint_errors_0_0.f";"45";"13"
"libtests.test_twodim_base_0_0.f";"141";"65"
"numpy.polynomial.tests.test_classes_0_0.f";"199";"172"
"lib_core.test_cython_0_0.f";"77";"23"
"numpy.matlib_0_0.f";"24";"2,595"
"randomtests.test_randomstate_0_0.f";"671";"277"
"omma.testutils_0_0.f";"74";"2,649"
"lib_core.test_numeric_0_0.f";"1,957";"462"
"lib_core.records_0_0.f";"153";"380"
"numpy.polynomial.hermite_e_0_0.f";"109";"166"
"omlib._function_base_impl_0_0.f";"552";"1,065"
"omtests.test_old_ma_0_0.f";"663";"378"
"tedistutils.mingw32ccompiler_0_0.f";"125";"413"
"linalgtests.test_linalg_0_0.f";"587";"295"
"lib_core.test_longdouble_0_0.f";"146";"29"
"numpy.polynomial.tests.test_printing_0_0.f";"159";"12"
"lib_core.test_function_base_0_0.f";"128";"52"
"omtests.test_core_0_0.f";"1,796";"723"
"libtests.test__datasource_0_0.f";"110";"49"
"omma.extras_0_0.f";"332";"1,073"
"_core_0_0.f";"0";"942"
"omlib._polynomial_impl_0_0.f";"180";"218"
"numpy.polynomial.polynomial_0_0.f";"122";"175"
"libtests.test_nanfunctions_0_0.f";"616";"221"
"lib_core.test_regression_0_0.f";"1,032";"385"
"lib_core.f";"159";"651"
"omlib._arraysetops_impl_0_0.f";"112";"125"
"tedistutils.f";"89";"127"
"randomtests.test_generator_mt19937_0_0.f";"897";"344"
"tedistutils.system_info_0_0.f";"2,846";"380"
"libtests.test_function_base_0_0.f";"1,277";"781"
"lib_core.test_umath_complex_0_0.f";"132";"267"
"tedistutils.cpuinfo_0_0.f";"200";"40"
"randomtests.test_generator_mt19937_regressions_0_0.f";"78";"24"
"numpy.polynomial._polybase_0_0.f";"132";"311"
"libtests.test_io_0_0.f";"1,117";"207"
"randomtests.test_extending_0_0.f";"25";"254"
"numpy.polynomial.tests.test_polynomial_0_0.f";"196";"118"
"libtests.test_arraypad_0_0.f";"327";"47"
"numpy.polynomial.tests.test_symbol_0_0.f";"61";"21"
"lib_core.test_datetime_0_0.f";"474";"108"
"lib_core.test_stringdtype_0_0.f";"474";"198"
"lif2py.crackfortran_0_0.f";"946";"811"
"f2pytests.test_array_from_pyobj_0_0.f";"190";"40"
"libtests.test_type_check_0_0.f";"145";"29"
"lib_core.test_cpu_features_0_0.f";"91";"73"
"tedistutils.conv_template_0_0.f";"77";"245"
"lib_core.test_mem_overlap_0_0.f";"208";"158"
"tedistutils.log_0_0.f";"29";"544"
"lib_core.test_arrayprint_0_0.f";"309";"91"
"lib_core._exceptions_0_0.f";"14";"20"
"libtests.test_packbits_0_0.f";"85";"31"
"omtests.test_core.M_0_0.f";"0";"125"
"ffttests.test_pocketfft_0_0.f";"245";"121"
"libtests.test_polynomial_0_0.f";"96";"43"
"typingtests.ndarray_misc_0_0.f";"84";"16"
"omtests.test_ctypeslib_0_0.f";"125";"135"
"numpy.ctypeslib_0_0.f";"71";"149"
"lib_core.test_casting_unittests_0_0.f";"179";"117"
"f2pytests.test_character_0_0.f";"140";"18"
"typingtests.ndarray_shape_manipulation_0_0.f";"13";"6"
"lib_core.einsumfunc_0_0.f";"135";"190"
"f2pytests.test_callback_0_0.f";"40";"22"
"distutilscommand.config_compiler_0_0.f";"10";"19"
"lib_core.test_dlpack_0_0.f";"79";"21"
"liblinalg._linalg_0_0.f";"382";"459"
"randomtests.test_direct_0_0.f";"165";"97"
"omlib._npyio_impl_0_0.f";"312";"1,036"
"tedistutils.ccompiler_opt_0_0.f";"405";"532"
"lib_core.shape_base_0_0.f";"100";"148"
"numpy.polynomial.tests.test_hermite_0_0.f";"184";"131"
"f2pytests.test_symbolic_0_0.f";"228";"31"
"tedistutils.misc_util_0_0.f";"1,086";"330"
"lib_core.test_shape_base_0_0.f";"214";"99"
"py_utils._pep440_0_0.f";"76";"20"
"omlib._utils_impl_0_0.f";"87";"119"
"omlib._arraypad_impl_0_0.f";"80";"196"
"omlib._shape_base_impl_0_0.f";"129";"427"
"libtests.test_shape_base_0_0.f";"271";"132"
"lib_core.test_indexing_0_0.f";"330";"149"
"libtests.test_arraysetops_0_0.f";"210";"135"
"lib_core.test_deprecations_0_0.f";"185";"75"
"distutilscommand.config_0_0.f";"81";"38"
"lib_core.numeric_0_0.f";"225";"202"
"testingtests.test_utils_0_0.f";"415";"108"
"libtests.test_format_0_0.f";"220";"96"
"f2pytests.test_crackfortran_0_0.f";"126";"33"
"omlib._scimath_impl_0_0.f";"44";"253"
"omlib._nanfunctions_impl_0_0.f";"357";"97"
"numpy.polynomial.polyutils_0_0.f";"109";"423"
"lib_core.test_scalarmath_0_0.f";"6,779";"221"
"omlib.recfunctions_0_0.f";"217";"238"
"omtests.test_mrecords_0_0.f";"3,388";"73"
"distutilsfcompiler.absoft_0_0.f";"30";"9"
"f2pytests.test_regression_0_0.f";"35";"17"
"lif2py.f";"61";"52"
"libtests.test__iotools_0_0.f";"78";"19"
"libtests.test_histograms_0_0.f";"287";"124"
"tedistutils.npy_pkg_config_0_0.f";"77";"59"
"lib_core.test_overrides_0_0.f";"219";"153"
"randomtests.test_regression_0_0.f";"63";"18"
"distutilscommand.build_ext_0_0.f";"150";"113"
"omtests.test_extras_0_0.f";"556";"224"
"typingtests.random_0_0.f";"162";"98"
"lib_core.test_einsum_0_0.f";"203";"102"
"lif2py._src_pyf_0_0.f";"84";"73"
"numpy.polynomial.tests.test_chebyshev_0_0.f";"255";"126"
"numpy.polynomial.chebyshev_0_0.f";"143";"311"
"lib_core._locales_0_0.f";"9";"3"
"lib_core.test_array_coercion_0_0.f";"242";"184"
"f2pytests.test_return_real_0_0.f";"22";"1"
"omlib._user_array_impl_0_0.f";"137";"6"
"lib_core._ufunc_config_0_0.f";"37";"24"
"omlib.mixins_0_0.f";"10";"55"
"libtests.test_recfunctions_0_0.f";"220";"138"
"libtests.test_loadtxt_0_0.f";"393";"93"
"lib_core.defchararray_0_0.f";"111";"40"
"f2pytests.test_parameter_0_0.f";"44";"7"
"tedistutils.line_endings_0_0.f";"21";"7"
"_pyinstallertests.pyinstaller-smoke_0_0.f";"19";"0"
"omlib._type_check_impl_0_0.f";"46";"132"
"omlib._datasource_0_0.f";"78";"211"
"numpy.polynomial.hermite_0_0.f";"109";"170"
"distutilscommand.build_clib_0_0.f";"98";"63"
"libtests.test_stride_tricks_0_0.f";"119";"71"
"lib_core.test_unicode_0_0.f";"68";"17"
"distutilsfcompiler.intel_0_0.f";"16";"12"
"libtests.test_arrayterator_0_0.f";"14";"55"
"distutilsfcompiler.gnu_0_0.f";"109";"76"
"omtests.test_subclassing_0_0.f";"142";"70"
"lib_core.test_indexerrors_0_0.f";"17";"5"
"distutilsfcompiler.mips_0_0.f";"12";"2"
"lib_core.test_simd_0_0.f";"406";"362"
"lib_core.test_custom_dtypes_0_0.f";"146";"52"
"omlib._histograms_impl_0_0.f";"124";"205"
"numpy.polynomial.tests.test_legendre_0_0.f";"189";"131"
"numpy.polynomial.legendre_0_0.f";"102";"195"
"tedistutils.unixccompiler_0_0.f";"28";"22"
"lib_core.test_limited_api_0_0.f";"17";"2"
"pycore.defchararray_0_0.f";"3";"0"
"typingtests.test_typing_0_0.f";"84";"63"
"omfft._pocketfft_0_0.f";"75";"56"
"numpy.polynomial.tests.test_laguerre_0_0.f";"189";"118"
"numpy.polynomial.laguerre_0_0.f";"100";"162"
"ffttests.test_helper_0_0.f";"37";"14"
"distutilsfcompiler.__init___0_0.f";"199";"187"
"numpy.conftest_0_0.f";"40";"27"
"tedistutils.extension_0_0.f";"12";"4"
"tedistutils.exec_command_0_0.f";"58";"58"
"randomtests.test_randomstate_regression_0_0.f";"86";"24"
"f2pytests.util_0_0.f";"85";"54"
"matrixlibtests.test_defmatrix_0_0.f";"172";"61"
"omma.timer_comparison_0_0.f";"106";"72"
"omlib.f";"111";"88"
"lif2py.f";"48";"90"
"lif2py.capi_maps_0_0.f";"192";"132"
"lif2py.f";"142";"133"
"testing_private.extbuild_0_0.f";"38";"40"
"lib_core.test_nep50_promotions_0_0.f";"110";"34"
"omtests.test_regression_0_0.f";"38";"18"
"lib_core.test__exceptions_0_0.f";"46";"15"
"numpy.exceptions.AxisError_0_0.f";"0";"4"
"lif2py.cfuncs_0_0.f";"20";"47"
"distutilstests.test_system_info_0_0.f";"86";"41"
"lib_core.test_half_0_0.f";"159";"78"
"py_utils._inspect_0_0.f";"35";"207"
"lib_core.test_extint128_0_0.f";"59";"44"
"lib_core._asarray_0_0.f";"10";"3"
"ommatrixlib.defmatrix_0_0.f";"133";"59"
"lib_core.test_api_0_0.f";"126";"56"
"lib_core.f";"57";"59"
"distutilsfcompiler.ibm_0_0.f";"29";"15"
"fractions_0_0.f";"0";"18"
"numpy.polynomial.tests.test_polyutils_0_0.f";"28";"12"
"lif2py.rules_0_0.f";"74";"164"
"pycore._multiarray_umath_0_0.f";"10";"4"
"libtests.test_index_tricks_0_0.f";"145";"53"
"numpytyping.mypy_plugin_0_0.f";"17";"116"
"lib_core.test_numerictypes_0_0.f";"117";"39"
"f2pytests.test_f2py2e_0_0.f";"288";"26"
"lib_core.test_scalar_ctors_0_0.f";"69";"35"
"libtests.test_ufunclike_0_0.f";"35";"22"
"null_0_0.f";"0";"7"
"lib_core.test_umath_accuracy_0_0.f";"63";"39"
"tedistutils.lib2def_0_0.f";"25";"31"
"omlib._index_tricks_impl_0_0.f";"85";"98"
"lib_core.test_records.C_0_0.f";"0";"26"
"lif2py.__init___0_0.f";"8";"4"
"lib_core._dtype_0_0.f";"54";"44"
"lib_core._type_aliases_0_0.f";"17";"22"
"lib_core.test_defchararray_0_0.f";"300";"53"
"distutilscommand.autodist_0_0.f";"23";"11"
"lib_core._internal_0_0.f";"125";"154"
"typingtests.f";"51";"8"
"libtests.test_utils_0_0.f";"13";"4"
"matrixlibtests.test_masked_matrix_0_0.f";"96";"41"
"lib_core.getlimits_0_0.f";"84";"88"
"typingtests.ufunclike_0_0.f";"10";"8"
"distutilstests.test_fcompiler_0_0.f";"7";"5"
"lib_core.numerictypes_0_0.f";"55";"29"
"numpy.__config___0_0.f";"14";"26"
"omlib._stride_tricks_impl_0_0.f";"142";"42"
"omtests.test_public_api_0_0.f";"79";"43"
"f2pytests.test_isoc_0_0.f";"8";"6"
"lib_core.overrides_0_0.f";"18";"13"
"lib_core.test_arrayprint.sub_0_0.f";"0";"10"
"distutilsfcompiler.environment_0_0.f";"17";"22"
"randomdata.extending_distributions_0_0.f";"21";"19"
"typingtests.scalars_0_0.f";"107";"20"
"distutilstests.test_misc_util_0_0.f";"28";"4"
"tedistutils._shell_utils_0_0.f";"10";"18"
"lib_core.multiarray_0_0.f";"27";"1"
"typingtests.array_constructors_0_0.f";"34";"6"
"typingtests.numeric_0_0.f";"47";"8"
"typingtests.ufunc_config_0_0.f";"12";"4"
"lib_core.memmap_0_0.f";"38";"39"
"lib_core.test_item_selection_0_0.f";"52";"31"
"matrixlibtests.test_numeric_0_0.f";"9";"3"
"omlib._arrayterator_impl_0_0.f";"22";"33"
"lib_core.test_mem_policy_0_0.f";"63";"25"
"lib_core.test_scalarbuffer_0_0.f";"58";"37"
"omlib._iotools_0_0.f";"114";"87"
"lif2py.use_rules_0_0.f";"19";"19"
"f2pytests.test_size_0_0.f";"8";"2"
"omlib._version_0_0.f";"21";"9"
"numpy.__init___0_0.f";"49";"26"
"lib_core.test_scalarprint_0_0.f";"64";"36"
"lib_core.setup_0_0.f";"8";"5"
"tedistutils.core_0_0.f";"38";"59"
"f2py_backends._meson_0_0.f";"64";"25"
"lib_core.test_overrides.D_0_0.f";"0";"29"
"distutilstests.test_exec_command_0_0.f";"39";"10"
"linalgtests.test_regression_0_0.f";"83";"43"
"matrixlibtests.test_interaction_0_0.f";"186";"48"
"lif2py.common_rules_0_0.f";"35";"20"
"tedistutils.msvc9compiler_0_0.f";"7";"4"
"tedistutils.intelccompiler_0_0.f";"11";"2"
"libtests.test_array_utils_0_0.f";"15";"7"
"omtests.test_matlib_0_0.f";"23";"8"
"distutilsfcompiler.arm_0_0.f";"12";"3"
"f2pytests.test_modules_0_0.f";"11";"2"
"lib_core.test_errstate_0_0.f";"35";"9"
"typingtests.arrayprint_0_0.f";"11";"0"
"lif2py.cb_rules_0_0.f";"27";"51"
"distutilscommand.install_data_0_0.f";"3";"0"
"distutilstests.test_fcompiler_gnu_0_0.f";"12";"2"
"lib_core.test_scalar_methods_0_0.f";"81";"22"
"lib_core.test_print_0_0.f";"54";"26"
"lib_core.test_getlimits_0_0.f";"53";"16"
"randomtests.test_seed_sequence_0_0.f";"13";"6"
"py_utils.__init___0_0.f";"10";"98"
"libtests.test_mixins_0_0.f";"65";"41"
"typingtests.lib_version_0_0.f";"1";"0"
"randomdata.extending_0_0.f";"56";"63"
"distutilstests.utilities_0_0.f";"18";"15"
"lib_core.test_argparse_0_0.f";"23";"5"
"tedistutils.msvccompiler_0_0.f";"7";"3"
"lib_core.printoptions_0_0.f";"3";"2"
"acktesting.overrides_0_0.f";"4";"0"
"pycompat.py3k_0_0.f";"30";"12"
"py_utils._convertions_0_0.f";"6";"16"
"f2pytests.test_docs_0_0.f";"20";"8"
"omlib._ufunclike_impl_0_0.f";"18";"8"
"libtests.test__version_0_0.f";"15";"0"
"omtests.test_configtool_0_0.f";"19";"7"
"distutilsfcompiler.none_0_0.f";"4";"0"
"f2pytests.test_value_attrspec_0_0.f";"2";"1"
"builtins_0_0.f";"0";"22"
"f2pytests.test_kind_0_0.f";"15";"2"
"omtests.test_warnings_0_0.f";"19";"4"
"lib_core.test_array_interface_0_0.f";"10";"5"
"distutilstests.test_log_0_0.f";"16";"8"
"distutilstests.test_from_template_0_0.f";"5";"4"
"numpy._core_0_0.f";"0";"38"
"lib_core._dtype_ctypes_0_0.f";"34";"4"
"lib_core.test_conversion_utils_0_0.f";"32";"9"
"distutilscommand.__init___0_0.f";"5";"1"
"typingtests.mod_0_0.f";"27";"24"
"linalgtests.test_deprecations_0_0.f";"2";"0"
"omtests.test_arrayobject_0_0.f";"13";"6"
"numpy._configtool_0_0.f";"9";"55"
"lib_core.test_memmap_0_0.f";"71";"21"
"_pyinstallertests.test_pyinstaller_0_0.f";"10";"6"
"matrixlibtests.test_matrix_linalg_0_0.f";"7";"4"
"distutilsfcompiler.compaq_0_0.f";"9";"4"
"distutilsfcompiler.nag_0_0.f";"11";"3"
"++unknown-component++_0_0.f";"0";"14"
"lib_core.test_overrides.A_0_0.f";"0";"59"
"f2pytests.test_return_integer_0_0.f";"12";"1"
"f2pytests.test_return_logical_0_0.f";"12";"1"
"distutilscommand.install_clib_0_0.f";"10";"6"
"distutilsfcompiler.g95_0_0.f";"4";"0"
"lib_core._add_newdocs_scalars_0_0.f";"19";"24"
"typingtests.index_tricks_0_0.f";"11";"0"
"typingtests.test_isfile_0_0.f";"4";"2"
"distutilstests.test_mingw32ccompiler_0_0.f";"8";"3"
"distutilscommand.install_0_0.f";"12";"10"
"typingtests.shape_0_0.f";"3";"3"
"typingtests.bitwise_ops_0_0.f";"16";"14"
"distutilstests.test_ccompiler_opt_conf_0_0.f";"50";"22"
"distutilsfcompiler.f";"4";"17"
"distutilstests.test_npy_pkg_config_0_0.f";"6,228";"3"
"distutilscommand.egg_info_0_0.f";"4";"0"
"distutilsfcompiler.nv_0_0.f";"4";"0"
"acktesting.print_coercion_tables_0_0.f";"30";"26"
"lib_core._methods_0_0.f";"78";"51"
"omtests.test_scripts_0_0.f";"21";"7"
"f2pytests.test_return_complex_0_0.f";"15";"1"
"itertools_0_0.f";"0";"4"
"terandom._pickle_0_0.f";"11";"12"
"te_pyinstaller.hook-numpy_0_0.f";"2";"1"
"lib_core.test_multiarray.Sub_0_0.f";"0";"2"
"numpy._pytesttester_0_0.f";"8";"10"
"f2pytests.test_f2cmap_0_0.f";"3";"3"
"typingtests.array_like_0_0.f";"21";"18"
"tedistutils.armccompiler_0_0.f";"2";"0"
"calendar_0_0.f";"0";"7"
"lib_core.test_scalarinherit_0_0.f";"27";"12"
"lib_core.test_overrides.B_0_0.f";"0";"7"
"gzip_0_0.f";"0";"13"
"lib_core._natype_0_0.f";"25";"45"
"distutilsfcompiler.pg_0_0.f";"12";"3"
"tedistutils.__init___0_0.f";"6";"3"
"om_typing._add_docstring_0_0.f";"13";"14"
"lib_core.test_numeric.Foo_0_0.f";"0";"4"
"typingtests.test_runtime_0_0.f";"28";"33"
"pycore.overrides_0_0.f";"3";"0"
"f2pytests.test_return_character_0_0.f";"15";"4"
"f2pytests.test_semicolon_split_0_0.f";"8";"1"
"lib_core.test_hashtable_0_0.f";"10";"7"
"typingtests.multiarray_0_0.f";"26";"8"
"lib_core.test_abc_0_0.f";"18";"0"
"lib_core.test_multithreading_0_0.f";"30";"14"
"matrixlibtests.test_regression_0_0.f";"17";"16"
"numpy._globals_0_0.f";"7";"27"
"omtests.test_numpy_config_0_0.f";"13";"3"
"omtests.test_deprecations_0_0.f";"18";"12"
"typingtests.simple_0_0.f";"26";"14"
"lib_core.test_arrayobject_0_0.f";"11";"6"
"typingtests.literal_0_0.f";"11";"19"
"typingtests.comparisons_0_0.f";"38";"44"
"matrixlibtests.test_multiarray_0_0.f";"11";"2"
"lib_core.test_array_api_info_0_0.f";"20";"18"
"lib_core.test_indexing.Zero_0_0.f";"0";"1"
"pycore.f";"3";"0"
"distutilstests.test_build_ext_0_0.f";"12";"2"
"f2pytests.test_string_0_0.f";"27";"17"
"pycore.multiarray_0_0.f";"4";"3"
"lif2py.diagnose_0_0.f";"14";"13"
"distutilstests.test_shell_utils_0_0.f";"14";"13"
"omtests.test_reloading_0_0.f";"15";"4"
"numpy.random_0_0.f";"0";"2"
"distutilstests.test_fcompiler_intel_0_0.f";"70";"2"
"numpy.polynomial.chebyshev.Chebyshev_0_0.f";"0";"6"
"distutilscommand.build_py_0_0.f";"9";"9"
"f2pytests.test_data_0_0.f";"9";"2"
"typingtests.array_constructors.Index_0_0.f";"0";"9"
"typingtests.arithmetic_0_0.f";"49";"81"
"typingtests.dtype_0_0.f";"5";"3"
"numpy.exceptions_0_0.f";"2";"10"
"lib_core.test_cpu_dispatcher_0_0.f";"4";"1"
"lib_core.cversions_0_0.f";"3";"0"
"distutilscommand.sdist_0_0.f";"7";"0"
"lib_core._add_newdocs_0_0.f";"5";"0"
"lib_core.test_simd_module_0_0.f";"32";"21"
"lib_core.test_protocols_0_0.f";"13";"2"
"typingtests.f";"6";"0"
"omfft._helper_0_0.f";"22";"17"
"omtests.test_lazyloading_0_0.f";"9";"7"
"pycore._dtype_0_0.f";"3";"0"
"tedistutils.numpy_distribution_0_0.f";"2";"0"
"lib_core.test_multiarray.x_0_0.f";"0";"15"
"typingtests.arrayterator_0_0.f";"4";"2"
"omtests.test_core.Series_0_0.f";"0";"1"
"f2py_backends._distutils_0_0.f";"14";"12"
"f2pytests.test_block_docstring_0_0.f";"3";"0"
"distutilsfcompiler.sun_0_0.f";"8";"0"
"pycore.arrayprint_0_0.f";"3";"0"
"distutilsfcompiler.hpux_0_0.f";"5";"0"
"terandom.__init___0_0.f";"36";"0"
"distutilscommand.build_scripts_0_0.f";"11";"3"
"omma.core.mvoid_0_0.f";"0";"6"
"typingtests.lib_utils_0_0.f";"6";"2"
"omma.__init___0_0.f";"1";"5"
"omtests.test_numpy_version_0_0.f";"7";"2"
"omfft.helper_0_0.f";"3";"0"
"_pyinstallertests.__init___0_0.f";"1";"0"
"distutilscommand.build_0_0.f";"6";"7"
"numpy._array_api_info_0_0.f";"7";"0"
"distutilsfcompiler.vast_0_0.f";"11";"9"
"tedistutils.pathccompiler_0_0.f";"2";"0"
"lib_core.test_machar_0_0.f";"5";"1"
"randomdata.parse_0_0.f";"9";"3"
"lib_core.__init___0_0.f";"12";"40"
"randomtests.test_randomstate_regression.N_0_0.f";"0";"6"
"f2pytests.test_pyf_src_0_0.f";"5";"2"
"f2pytests.test_abstract_interface_0_0.f";"7";"2"
"lib_core._machar_0_0.f";"15";"105"
"typingtests.ndarray_conversion_0_0.f";"14";"4"
"distutils.ccompiler_0_0.f";"0";"1"
"typingtests.ufuncs_0_0.f";"6";"0"
"pycore.shape_base_0_0.f";"3";"0"
"lib_core.test_multiarray.Fail_0_0.f";"0";"1"
"f2pytests.test_assumed_shape_0_0.f";"17";"6"
"pycore._dtype_ctypes_0_0.f";"3";"0"
"distutils.errors_0_0.f";"0";"1"
