name,files,modules,variables
ode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.ode,self.stiff
ode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.ode,self.f
ode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.ode,self.jac
ode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.ode,self.f_params
ode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.ode,self.jac_params
ode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.ode,self._y
complex_ode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.complex_ode,self.cf
complex_ode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.complex_ode,self.cjac
IntegratorConcurrencyError,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.IntegratorConcurrencyError,msg
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.with_jacobian
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.rtol
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.atol
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.mu
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.ml
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.order
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.nsteps
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.max_step
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.min_step
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.first_step
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.success
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.initialized
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.rtol
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.atol
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.nsteps
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.max_step
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.first_step
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.safety
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.ifactor
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.dfactor
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.beta
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.verbosity
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.success
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.with_jacobian
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.rtol
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.atol
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.mu
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.ml
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.max_order_ns
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.max_order_s
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.nsteps
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.max_step
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.min_step
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.first_step
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.ixpr
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.max_hnil
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.success
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.initialized
LRUDict,./apps/scipy/scipy/integrate/_quad_vec.py,scipy.integrate._quad_vec.LRUDict,self.__max_size
SemiInfiniteFunc,./apps/scipy/scipy/integrate/_quad_vec.py,scipy.integrate._quad_vec.SemiInfiniteFunc,self._func
SemiInfiniteFunc,./apps/scipy/scipy/integrate/_quad_vec.py,scipy.integrate._quad_vec.SemiInfiniteFunc,self._start
SemiInfiniteFunc,./apps/scipy/scipy/integrate/_quad_vec.py,scipy.integrate._quad_vec.SemiInfiniteFunc,self._sgn
SemiInfiniteFunc,./apps/scipy/scipy/integrate/_quad_vec.py,scipy.integrate._quad_vec.SemiInfiniteFunc,self._tmin
DoubleInfiniteFunc,./apps/scipy/scipy/integrate/_quad_vec.py,scipy.integrate._quad_vec.DoubleInfiniteFunc,self._func
DoubleInfiniteFunc,./apps/scipy/scipy/integrate/_quad_vec.py,scipy.integrate._quad_vec.DoubleInfiniteFunc,self._tmin
_Bunch,./apps/scipy/scipy/integrate/_quad_vec.py,scipy.integrate._quad_vec._Bunch,self.__keys
_RangeFunc,./apps/scipy/scipy/integrate/_quadpack_py.py,scipy.integrate._quadpack_py._RangeFunc,self.range_
_OptFunc,./apps/scipy/scipy/integrate/_quadpack_py.py,scipy.integrate._quadpack_py._OptFunc,self.opt
_NQuad,./apps/scipy/scipy/integrate/_quadpack_py.py,scipy.integrate._quadpack_py._NQuad,self.abserr
_NQuad,./apps/scipy/scipy/integrate/_quadpack_py.py,scipy.integrate._quadpack_py._NQuad,self.func
_NQuad,./apps/scipy/scipy/integrate/_quadpack_py.py,scipy.integrate._quadpack_py._NQuad,self.ranges
_NQuad,./apps/scipy/scipy/integrate/_quadpack_py.py,scipy.integrate._quadpack_py._NQuad,self.opts
_NQuad,./apps/scipy/scipy/integrate/_quadpack_py.py,scipy.integrate._quadpack_py._NQuad,self.maxdepth
_NQuad,./apps/scipy/scipy/integrate/_quadpack_py.py,scipy.integrate._quadpack_py._NQuad,self.full_output
_InfiniteLimitsTransform,./apps/scipy/scipy/integrate/_cubature.py,scipy.integrate._cubature._InfiniteLimitsTransform,self._xp
_InfiniteLimitsTransform,./apps/scipy/scipy/integrate/_cubature.py,scipy.integrate._cubature._InfiniteLimitsTransform,self._f
_InfiniteLimitsTransform,./apps/scipy/scipy/integrate/_cubature.py,scipy.integrate._cubature._InfiniteLimitsTransform,self._orig_a
_InfiniteLimitsTransform,./apps/scipy/scipy/integrate/_cubature.py,scipy.integrate._cubature._InfiniteLimitsTransform,self._orig_b
_InfiniteLimitsTransform,./apps/scipy/scipy/integrate/_cubature.py,scipy.integrate._cubature._InfiniteLimitsTransform,self._double_inf_pos
_InfiniteLimitsTransform,./apps/scipy/scipy/integrate/_cubature.py,scipy.integrate._cubature._InfiniteLimitsTransform,start_inf_mask
_InfiniteLimitsTransform,./apps/scipy/scipy/integrate/_cubature.py,scipy.integrate._cubature._InfiniteLimitsTransform,inf_end_mask
_InfiniteLimitsTransform,./apps/scipy/scipy/integrate/_cubature.py,scipy.integrate._cubature._InfiniteLimitsTransform,self._semi_inf_pos
_InfiniteLimitsTransform,./apps/scipy/scipy/integrate/_cubature.py,scipy.integrate._cubature._InfiniteLimitsTransform,self._orig_a
_InfiniteLimitsTransform,./apps/scipy/scipy/integrate/_cubature.py,scipy.integrate._cubature._InfiniteLimitsTransform,self._orig_b
_InfiniteLimitsTransform,./apps/scipy/scipy/integrate/_cubature.py,scipy.integrate._cubature._InfiniteLimitsTransform,self._num_inf
GaussKronrodQuadrature,./apps/scipy/scipy/integrate/_rules/_gauss_kronrod.py,scipy.integrate._rules._gauss_kronrod.GaussKronrodQuadrature,self.npoints
GaussKronrodQuadrature,./apps/scipy/scipy/integrate/_rules/_gauss_kronrod.py,scipy.integrate._rules._gauss_kronrod.GaussKronrodQuadrature,self.xp
GaussKronrodQuadrature,./apps/scipy/scipy/integrate/_rules/_gauss_kronrod.py,scipy.integrate._rules._gauss_kronrod.GaussKronrodQuadrature,self.gauss
FixedRule,./apps/scipy/scipy/integrate/_rules/_base.py,scipy.integrate._rules._base.FixedRule,self.xp
NestedFixedRule,./apps/scipy/scipy/integrate/_rules/_base.py,scipy.integrate._rules._base.NestedFixedRule,self.higher
NestedFixedRule,./apps/scipy/scipy/integrate/_rules/_base.py,scipy.integrate._rules._base.NestedFixedRule,self.lower
NestedFixedRule,./apps/scipy/scipy/integrate/_rules/_base.py,scipy.integrate._rules._base.NestedFixedRule,self.xp
ProductNestedFixed,./apps/scipy/scipy/integrate/_rules/_base.py,scipy.integrate._rules._base.ProductNestedFixed,self.base_rules
ProductNestedFixed,./apps/scipy/scipy/integrate/_rules/_base.py,scipy.integrate._rules._base.ProductNestedFixed,self.xp
GaussLegendreQuadrature,./apps/scipy/scipy/integrate/_rules/_gauss_legendre.py,scipy.integrate._rules._gauss_legendre.GaussLegendreQuadrature,self.npoints
GaussLegendreQuadrature,./apps/scipy/scipy/integrate/_rules/_gauss_legendre.py,scipy.integrate._rules._gauss_legendre.GaussLegendreQuadrature,self.xp
GenzMalikCubature,./apps/scipy/scipy/integrate/_rules/_genz_malik.py,scipy.integrate._rules._genz_malik.GenzMalikCubature,self.ndim
GenzMalikCubature,./apps/scipy/scipy/integrate/_rules/_genz_malik.py,scipy.integrate._rules._genz_malik.GenzMalikCubature,self.degree
GenzMalikCubature,./apps/scipy/scipy/integrate/_rules/_genz_malik.py,scipy.integrate._rules._genz_malik.GenzMalikCubature,self.lower_degree
GenzMalikCubature,./apps/scipy/scipy/integrate/_rules/_genz_malik.py,scipy.integrate._rules._genz_malik.GenzMalikCubature,self.xp
LSODA,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LSODA,first_step
LSODA,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LSODA,rtol
LSODA,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LSODA,atol
LSODA,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LSODA,solver
LSODA,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LSODA,solver._integrator.rwork
LSODA,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LSODA,solver._integrator.call_args
LSODA,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LSODA,self._lsoda_solver
LsodaDenseOutput,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LsodaDenseOutput,self.h
LsodaDenseOutput,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LsodaDenseOutput,self.yh
LsodaDenseOutput,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LsodaDenseOutput,self.p
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.max_step
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.rtol
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.atol
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,f
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.h_abs_old
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.error_norm_old
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.newton_tol
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.jac_factor
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.jac
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.J
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.lu
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.solve_lu
