callerfilename,callermodule,caller,callee
./apps/scipy/scipy/interpolate/tests/test_interpolate.py,interpolate.tests.test_interpolate,test_from_spline,ppp
./apps/scipy/scipy/interpolate/tests/test_fitpack2.py,interpolate.tests.test_fitpack2,test_array_like_input,spl1
./apps/scipy/scipy/interpolate/tests/test_ndgriddata.py,interpolate.tests.test_ndgriddata,test_nearest_list_argument,NI
./apps/scipy/scipy/sparse/tests/test_arithmetic1d.py,scipy.s.tests.test_arithmetic1d,datsp_math_dtypes,sp
./apps/scipy/scipy/integrate/_ivp/tests/test_ivp.py,scipy.integrate._ivp.tests.test_ivp,sys3_zfinal,sol.sol
./apps/scipy/scipy/interpolate/tests/test_interpolate.py,interpolate.tests.test_interpolate,test_overflow_nearest,ii
./apps/scipy/scipy/interpolate/tests/test_bsplines.py,interpolate.tests.test_bsplines,test_split_add_knot,spl2
./apps/scipy/scipy/interpolate/tests/test_interpolate.py,interpolate.tests.test_interpolate,test_extend_diff_orders,pp2
./apps/scipy/scipy/interpolate/tests/test_bsplines.py,interpolate.tests.test_bsplines,test_neg_axis,spl0
./apps/scipy/scipy/integrate/tests/test_bvp.py,scipy.integrate.tests.test_bvp,test_no_params,sol.sol
./apps/scipy/scipy/integrate/tests/test_bvp.py,scipy.integrate.tests.test_bvp,test_complex,sol.sol
./apps/scipy/scipy/interpolate/tests/test_ndgriddata.py,interpolate.tests.test_ndgriddata,test_nearest_query_options,NI
./apps/scipy/scipy/interpolate/tests/test_fitpack2.py,interpolate.tests.test_fitpack2,test_derivative_and_antiderivative,spl2
./apps/scipy/scipy/linalg/_basic.py,s.linalg._basic,solve0,posv
./apps/scipy/scipy/integrate/_ivp/tests/test_ivp.py,scipy.integrate._ivp.tests.test_ivp,fun,sol.sol
./apps/scipy/scipy/integrate/tests/test_bvp.py,scipy.integrate.tests.test_bvp,test_with_params,sol.sol
./apps/scipy/scipy/linalg/tests/test_lapack.py,linalg.tests.test_lapack,test_pptrs_pptri_pptrf_ppsv_ppcon,ppsv
./apps/scipy/scipy/interpolate/tests/test_interpolate.py,interpolate.tests.test_interpolate,test_integrate_1d,pz
./apps/scipy/scipy/sparse/tests/test_minmax1d.py,scipy.s.tests.test_minmax1d,test_minmax,spm
./apps/scipy/scipy/integrate/_ivp/tests/test_ivp.py,scipy.integrate._ivp.tests.test_ivp,test_no_integration,sol.sol
./apps/scipy/scipy/interpolate/tests/test_fitpack2.py,interpolate.tests.test_fitpack2,test_array_like_input,spl2
./apps/scipy/scipy/interpolate/tests/test_interpolate.py,interpolate.tests.test_interpolate,test_integrate_periodic,I
./apps/scipy/scipy/integrate/_ivp/tests/test_ivp.py,scipy.integrate._ivp.tests.test_ivp,hit_ground,sol.sol
./apps/scipy/scipy/integrate/tests/test_bvp.py,scipy.integrate.tests.test_bvp,test_singular_term,sol.sol
./apps/scipy/scipy/integrate/tests/test_bvp.py,scipy.integrate.tests.test_bvp,test_big_problem_with_parameters,sol.sol
./apps/scipy/scipy/interpolate/tests/test_interpolate.py,interpolate.tests.test_interpolate,test_antiderivative_vs_spline,pp2
./apps/scipy/scipy/interpolate/tests/test_bsplines.py,interpolate.tests.test_bsplines,test_neg_axis,spl1
./apps/scipy/scipy/interpolate/tests/test_interpolate.py,interpolate.tests.test_interpolate,test_extend_diff_orders,pp1
./apps/scipy/scipy/interpolate/tests/test_fitpack2.py,interpolate.tests.test_fitpack2,__call__,sp
./apps/scipy/scipy/interpolate/tests/test_interpolate.py,interpolate.tests.test_interpolate,test_local_nans,ir
./apps/scipy/scipy/interpolate/tests/test_interpolate.py,interpolate.tests.test_interpolate,test_spline_nans,ir
./apps/scipy/scipy/integrate/tests/test_bvp.py,scipy.integrate.tests.test_bvp,test_shock_layer,sol.sol
./apps/scipy/scipy/interpolate/tests/test_interpolate.py,interpolate.tests.test_interpolate,test_bp_from_pp_random,pp1
./apps/scipy/scipy/interpolate/tests/test_bary_rational.py,interpolate.tests.test_bary_rational,test_scale_invariance,r3
./apps/scipy/scipy/integrate/tests/test_bvp.py,scipy.integrate.tests.test_bvp,test_nonlin_bc,sol.sol
./apps/scipy/scipy/interpolate/tests/test_ndgriddata.py,interpolate.tests.test_ndgriddata,test_nearest_query_valid_inputs,NI
./apps/scipy/scipy/interpolate/tests/test_interpolate.py,interpolate.tests.test_interpolate,test_bp_from_pp,pp1
./apps/scipy/scipy/integrate/tests/test_bvp.py,scipy.integrate.tests.test_bvp,test_big_problem,sol.sol
./apps/scipy/scipy/interpolate/tests/test_interpolate.py,interpolate.tests.test_interpolate,test_antiderivative_vs_derivative,pp2
