file,operation
scipy.conftest,pytest_configure
scipy.conftest,pytest_runtest_setup
scipy.conftest,check_fpu_mode
scipy.conftest,num_parallel_threads
scipy.conftest,xp
scipy.conftest,_backends_kwargs_from_request
scipy.conftest,skip_or_xfail_xp_backends
scipy.conftest,devices
scipy.conftest,warnings_errors_and_rng
scipy.__init__,__dir__
scipy.__init__,__getattr__
scipy.ndimage._morphology,_center_is_true
scipy.ndimage._morphology,iterate_structure
scipy.ndimage._morphology,generate_binary_structure
scipy.ndimage._morphology,_binary_erosion
scipy.ndimage._morphology,binary_erosion
scipy.ndimage._morphology,binary_dilation
scipy.ndimage._morphology,binary_opening
scipy.ndimage._morphology,binary_closing
scipy.ndimage._morphology,binary_hit_or_miss
scipy.ndimage._morphology,binary_propagation
scipy.ndimage._morphology,binary_fill_holes
scipy.ndimage._morphology,grey_erosion
scipy.ndimage._morphology,grey_dilation
scipy.ndimage._morphology,grey_opening
scipy.ndimage._morphology,grey_closing
scipy.ndimage._morphology,morphological_gradient
scipy.ndimage._morphology,morphological_laplace
scipy.ndimage._morphology,white_tophat
scipy.ndimage._morphology,black_tophat
scipy.ndimage._morphology,distance_transform_bf
scipy.ndimage._morphology,distance_transform_cdt
scipy.ndimage._morphology,distance_transform_edt
scipy.ndimage._morphology,_distance_tranform_arg_check
scipy.ndimage._interpolation,spline_filter1d
scipy.ndimage._interpolation,spline_filter
scipy.ndimage._interpolation,_prepad_for_spline_filter
scipy.ndimage._interpolation,geometric_transform
scipy.ndimage._interpolation,map_coordinates
scipy.ndimage._interpolation,affine_transform
scipy.ndimage._interpolation,shift
scipy.ndimage._interpolation,zoom
scipy.ndimage._interpolation,rotate
scipy.ndimage._measurements,label
scipy.ndimage._measurements,find_objects
scipy.ndimage._measurements,value_indices
scipy.ndimage._measurements,labeled_comprehension
scipy.ndimage._measurements,do_map
scipy.ndimage._measurements,_safely_castable_to_int
scipy.ndimage._measurements,_stats
scipy.ndimage._measurements,single_group
scipy.ndimage._measurements,_sum_centered
scipy.ndimage._measurements,sum
scipy.ndimage._measurements,sum_labels
scipy.ndimage._measurements,mean
scipy.ndimage._measurements,variance
scipy.ndimage._measurements,standard_deviation
scipy.ndimage._measurements,_select
scipy.ndimage._measurements,single_group
scipy.ndimage._measurements,minimum
scipy.ndimage._measurements,maximum
scipy.ndimage._measurements,median
scipy.ndimage._measurements,minimum_position
scipy.ndimage._measurements,maximum_position
scipy.ndimage._measurements,extrema
scipy.ndimage._measurements,center_of_mass
scipy.ndimage._measurements,histogram
scipy.ndimage._measurements,_hist
scipy.ndimage._measurements,watershed_ift
scipy.ndimage._ni_support,_extend_mode_to_code
scipy.ndimage._ni_support,_normalize_sequence
scipy.ndimage._ni_support,_get_output
scipy.ndimage._ni_support,_check_axes
scipy.ndimage._ni_support,_skip_if_dtype
scipy.ndimage.interpolation,__dir__
scipy.ndimage.interpolation,__getattr__
scipy.ndimage._support_alternative_backends,_maybe_convert_arg
scipy.ndimage._support_alternative_backends,delegate_xp
scipy.ndimage._support_alternative_backends,inner
scipy.ndimage._support_alternative_backends,wrapper
scipy.ndimage._fourier,_get_output_fourier
scipy.ndimage._fourier,_get_output_fourier_complex
scipy.ndimage._fourier,fourier_gaussian
scipy.ndimage._fourier,fourier_uniform
scipy.ndimage._fourier,fourier_ellipsoid
scipy.ndimage._fourier,fourier_shift
scipy.ndimage._delegators,affine_transform_signature
scipy.ndimage._delegators,binary_closing_signature
scipy.ndimage._delegators,binary_dilation_signature
scipy.ndimage._delegators,binary_fill_holes_signature
scipy.ndimage._delegators,label_signature
scipy.ndimage._delegators,binary_hit_or_miss_signature
scipy.ndimage._delegators,binary_propagation_signature
scipy.ndimage._delegators,convolve_signature
scipy.ndimage._delegators,convolve1d_signature
scipy.ndimage._delegators,distance_transform_bf_signature
scipy.ndimage._delegators,distance_transform_cdt_signature
scipy.ndimage._delegators,distance_transform_edt_signature
scipy.ndimage._delegators,find_objects_signature
scipy.ndimage._delegators,fourier_ellipsoid_signature
scipy.ndimage._delegators,fourier_gaussian_signature
scipy.ndimage._delegators,fourier_shift_signature
scipy.ndimage._delegators,gaussian_filter_signature
scipy.ndimage._delegators,gaussian_filter1d_signature
scipy.ndimage._delegators,gaussian_gradient_magnitude_signature
scipy.ndimage._delegators,generate_binary_structure_signature
scipy.ndimage._delegators,generic_filter_signature
scipy.ndimage._delegators,generic_filter1d_signature
scipy.ndimage._delegators,generic_gradient_magnitude_signature
scipy.ndimage._delegators,generic_laplace_signature
scipy.ndimage._delegators,geometric_transform_signature
scipy.ndimage._delegators,histogram_signature
scipy.ndimage._delegators,iterate_structure_signature
scipy.ndimage._delegators,labeled_comprehension_signature
scipy.ndimage._delegators,laplace_signature
scipy.ndimage._delegators,map_coordinates_signature
scipy.ndimage._delegators,maximum_filter1d_signature
scipy.ndimage._delegators,maximum_signature
scipy.ndimage._delegators,median_filter_signature
scipy.ndimage._delegators,morphological_gradient_signature
scipy.ndimage._delegators,percentile_filter_signature
scipy.ndimage._delegators,prewitt_signature
scipy.ndimage._delegators,rank_filter_signature
scipy.ndimage._delegators,rotate_signature
scipy.ndimage._delegators,shift_signature
scipy.ndimage._delegators,spline_filter_signature
scipy.ndimage._delegators,spline_filter1d_signature
scipy.ndimage._delegators,uniform_filter_signature
scipy.ndimage._delegators,value_indices_signature
scipy.ndimage._delegators,vectorized_filter_signature
scipy.ndimage._delegators,watershed_ift_signature
scipy.ndimage._delegators,zoom_signature
scipy.ndimage._filters,_vectorized_filter_iv
scipy.ndimage._filters,footprinted_function
