common-block,file,module,operation,direction
ode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.ode,self.stiff,WRITE
ode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.ode,self.f,WRITE
ode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.ode,self.jac,WRITE
ode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.ode,self.f_params,WRITE
ode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.ode,self.jac_params,WRITE
ode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.ode,self._y,WRITE
complex_ode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.complex_ode,self.cf,WRITE
complex_ode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.complex_ode,self.cjac,WRITE
IntegratorConcurrencyError,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.IntegratorConcurrencyError,msg,WRITE
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.with_jacobian,WRITE
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.rtol,WRITE
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.atol,WRITE
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.mu,WRITE
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.ml,WRITE
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.order,WRITE
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.nsteps,WRITE
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.max_step,WRITE
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.min_step,WRITE
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.first_step,WRITE
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.success,WRITE
vode,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.vode,self.initialized,WRITE
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.rtol,WRITE
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.atol,WRITE
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.nsteps,WRITE
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.max_step,WRITE
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.first_step,WRITE
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.safety,WRITE
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.ifactor,WRITE
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.dfactor,WRITE
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.beta,WRITE
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.verbosity,WRITE
dopri5,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.dopri5,self.success,WRITE
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.with_jacobian,WRITE
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.rtol,WRITE
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.atol,WRITE
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.mu,WRITE
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.ml,WRITE
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.max_order_ns,WRITE
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.max_order_s,WRITE
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.nsteps,WRITE
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.max_step,WRITE
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.min_step,WRITE
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.first_step,WRITE
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.ixpr,WRITE
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.max_hnil,WRITE
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.success,WRITE
lsoda,./apps/scipy/scipy/integrate/_ode.py,scipy.integrate._ode.lsoda,self.initialized,WRITE
LRUDict,./apps/scipy/scipy/integrate/_quad_vec.py,scipy.integrate._quad_vec.LRUDict,self.__max_size,WRITE
SemiInfiniteFunc,./apps/scipy/scipy/integrate/_quad_vec.py,scipy.integrate._quad_vec.SemiInfiniteFunc,self._func,WRITE
SemiInfiniteFunc,./apps/scipy/scipy/integrate/_quad_vec.py,scipy.integrate._quad_vec.SemiInfiniteFunc,self._start,WRITE
SemiInfiniteFunc,./apps/scipy/scipy/integrate/_quad_vec.py,scipy.integrate._quad_vec.SemiInfiniteFunc,self._sgn,WRITE
SemiInfiniteFunc,./apps/scipy/scipy/integrate/_quad_vec.py,scipy.integrate._quad_vec.SemiInfiniteFunc,self._tmin,WRITE
DoubleInfiniteFunc,./apps/scipy/scipy/integrate/_quad_vec.py,scipy.integrate._quad_vec.DoubleInfiniteFunc,self._func,WRITE
DoubleInfiniteFunc,./apps/scipy/scipy/integrate/_quad_vec.py,scipy.integrate._quad_vec.DoubleInfiniteFunc,self._tmin,WRITE
_Bunch,./apps/scipy/scipy/integrate/_quad_vec.py,scipy.integrate._quad_vec._Bunch,self.__keys,WRITE
_RangeFunc,./apps/scipy/scipy/integrate/_quadpack_py.py,scipy.integrate._quadpack_py._RangeFunc,self.range_,WRITE
_OptFunc,./apps/scipy/scipy/integrate/_quadpack_py.py,scipy.integrate._quadpack_py._OptFunc,self.opt,WRITE
_NQuad,./apps/scipy/scipy/integrate/_quadpack_py.py,scipy.integrate._quadpack_py._NQuad,self.abserr,WRITE
_NQuad,./apps/scipy/scipy/integrate/_quadpack_py.py,scipy.integrate._quadpack_py._NQuad,self.func,WRITE
_NQuad,./apps/scipy/scipy/integrate/_quadpack_py.py,scipy.integrate._quadpack_py._NQuad,self.ranges,WRITE
_NQuad,./apps/scipy/scipy/integrate/_quadpack_py.py,scipy.integrate._quadpack_py._NQuad,self.opts,WRITE
_NQuad,./apps/scipy/scipy/integrate/_quadpack_py.py,scipy.integrate._quadpack_py._NQuad,self.maxdepth,WRITE
_NQuad,./apps/scipy/scipy/integrate/_quadpack_py.py,scipy.integrate._quadpack_py._NQuad,self.full_output,WRITE
_InfiniteLimitsTransform,./apps/scipy/scipy/integrate/_cubature.py,scipy.integrate._cubature._InfiniteLimitsTransform,self._xp,WRITE
_InfiniteLimitsTransform,./apps/scipy/scipy/integrate/_cubature.py,scipy.integrate._cubature._InfiniteLimitsTransform,self._f,WRITE
_InfiniteLimitsTransform,./apps/scipy/scipy/integrate/_cubature.py,scipy.integrate._cubature._InfiniteLimitsTransform,self._orig_a,WRITE
_InfiniteLimitsTransform,./apps/scipy/scipy/integrate/_cubature.py,scipy.integrate._cubature._InfiniteLimitsTransform,self._orig_b,WRITE
