source-path,source-module,source-operation,target-path,target-module,target-operation,direction
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,x1,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,l.start_node.y,WRITE
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,s.signal_offset,apps/UXsim/uxsim/Utilities/Utilities.py,uxsim.Utilities.Utilities,signal_offset_old,WRITE
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,s.capacity_in,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,s.capacity,WRITE
apps/UXsim/tests/test_verification_route_choice.py,test_verification_route_choice,tta,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,df2.df2.values.df2.df2.values,WRITE
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,veh.link_arrival_time,apps/UXsim/demos_and_examples/example_06en_dynamic_parameter_change.py,example_06en_dynamic_parameter_change,s.W.T,WRITE
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,y1,apps/UXsim/demos_and_examples/example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch.py,example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch,l.start_node.x,WRITE
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim.Node,offset,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,s.cycle_length,WRITE
apps/UXsim/uxsim/utils.py,uxsim.utils,filename,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,caller_frame.filename,WRITE
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,veh.link_arrival_time,apps/UXsim/demos_and_examples/example_06en_dynamic_parameter_change.py,example_06en_dynamic_parameter_change,s.W.DELTAT,WRITE
apps/UXsim/uxsim/OSMImporter2/OSMImporter2.py,uxsim.OSMImporter2.OSMImporter2,max_lanes,apps/UXsim/demos_and_examples/example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch.py,example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch,max,WRITE
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,y1,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,l.start_node.y,WRITE
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,s.capacity_in_remain,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,s.capacity,WRITE
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim.Node,offset,apps/UXsim/uxsim/Utilities/Utilities.py,uxsim.Utilities.Utilities,s.signal_offset,WRITE
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,outlink_candidates,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.incoming_vehicles,WRITE
apps/UXsim/tests/test_verification_straight_road.py,test_verification_straight_road,link1,apps/UXsim/demos_and_examples/example_06en_dynamic_parameter_change.py,example_06en_dynamic_parameter_change,W.addLink,WRITE
apps/UXsim/tests/test_notebook_demos_extra.py,test_notebook_demos_extra,full_path,apps/UXsim/uxsim/Utilities/Utilities.py,uxsim.Utilities.Utilities,os.path.join,WRITE
apps/UXsim/tests/test_verification_multilane.py,test_verification_multilane,tt3,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,df.df.df.df.sum,WRITE
