callerfilename,callermodule,callerfunction,calleefilename,calleemodule,calleefunction
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,od_analysis,inspect,inspect,np.average
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,vehicle_groups_to_pandas,apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,average_traveled_distance_rec.append
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,get_xy_coords,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,s.W.get_link
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,od_analysis,++imported++,collections,ddict
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,self.W.analyzer.vehicles_to_pandas
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,vehicle_groups_to_pandas,turtle,turtle,average_detour_rec.append
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,W.get_nodes_in_area
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,od_analysis,turtle,turtle,np.std
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,optparse,optparse,menu_bar.addMenu
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,vehicle_groups_to_pandas,turtle,turtle,std_detour_rec.append
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,od_analysis,++imported++,collections,ddict
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,vehicle_groups_to_pandas,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,averae_speed_rec.append
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,W.get_nodes_in_area
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,link_analysis_coarse,++imported++,collections,ddict
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,asyncio,asyncio,menu_settings.addMenu
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,vehicle_groups_to_pandas,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,std_speed_rec.append
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,od_analysis,++imported++,collections,ddict
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,vehicle_groups_to_pandas,turtle,turtle,pd.DataFrame
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,link_analysis_coarse,++imported++,collections,ddict
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,lzma,lzma,option_curve_direction.addAction
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,od_analysis,++imported++,collections,ddict
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,turtle,turtle,curve_right_action.triggered.connect
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,builtins,builtins,int
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,link_analysis_coarse,++imported++,collections,ddict
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,self.set_curve_direction
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,mfd_to_pandas,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.compute_mfd
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,od_analysis,lzma,lzma,np.zeros
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,link_analysis_coarse,++imported++,collections,ddict
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,solve,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,W_orig.print_scenario_stats
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,lzma,lzma,option_curve_direction.addAction
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,W.get_node
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,turtle,turtle,curve_left_action.triggered.connect
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,mfd_to_pandas,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,s.W.get_link
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,od_analysis,_operator,_operator,len
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,_operator,_operator,len
apps/UXsim/uxsim/Utilities/Utilities.py,uxsim.Utilities.Utilities,construct_time_space_network,builtins,builtins,int
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,link_analysis_coarse,++imported++,collections,ddict
apps/UXsim/uxsim/Utilities/Utilities.py,uxsim.Utilities.Utilities,construct_time_space_network,networkx,networkx,nx.DiGraph
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,od_analysis,_operator,_operator,len
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,self.set_curve_direction
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,solve,++imported++,collections,defaultdict
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,turtle,turtle,origs_new.append
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,mfd_to_pandas,asyncio,asyncio,frozenset
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,od_analysis,lzma,lzma,np.zeros
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,record_log,asyncio,asyncio,s.log_t.append
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,asyncio,asyncio,menu_settings.addMenu
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,solve,optparse,optparse,W_orig.VEHICLES.items
apps/UXsim/uxsim/Utilities/Utilities.py,uxsim.Utilities.Utilities,construct_time_space_network,_operator,_operator,range
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,mfd_to_pandas,apps/UXsim/uxsim/utils.py,uxsim.utils,lange
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,W.get_node
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,record_log,asyncio,asyncio,s.log_state.append
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,od_analysis,_operator,_operator,len
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,mfd_to_pandas,turtle,turtle,out.append
